	brenneri	briggsae	doughertyi	elegans	inopinata	latens	nigoni	remanei	sinica	sp26	sp40	tropicalis	wallacei
OG0000103	27	2	19	0	0	2	6	4	17	8	9	15	10
OG0000104	16	0	25	0	0	0	0	0	36	27	1	8	5
OG0000105	7	6	7	1	0	14	13	13	21	10	9	10	6
OG0000106	9	9	12	0	0	4	38	3	31	3	2	5	1
OG0000107	13	4	13	10	7	13	5	10	12	4	8	8	10
OG0000108	16	8	4	6	0	2	12	3	25	12	15	9	4
OG0000109	1	2	24	0	0	11	6	11	32	20	0	5	4
OG0000110	2	8	3	2	0	1	71	1	2	2	1	6	16
OG0000111	3	3	1	0	53	9	9	5	10	5	4	4	7
OG0000112	4	3	30	0	0	4	7	7	20	5	10	16	5
OG0000113	10	8	10	4	2	11	10	13	11	12	6	7	5
OG0000114	23	4	3	0	0	12	19	8	18	2	0	4	16
OG0000115	2	11	4	11	15	4	11	5	14	9	6	8	8
OG0000116	10	4	16	11	0	4	14	6	11	11	6	5	8
OG0000117	6	2	9	1	37	6	6	5	10	2	5	9	7
OG0000118	17	2	8	0	1	2	5	4	9	33	3	17	3
OG0000119	0	1	29	0	10	4	9	5	29	0	17	0	0
OG0000120	0	0	3	0	4	0	7	0	52	29	4	1	4
OG0000121	13	5	9	7	5	11	9	10	6	6	6	7	9
OG0000122	11	8	0	10	5	6	13	8	11	11	1	7	12
OG0000123	14	9	0	14	2	4	8	4	15	7	11	8	7
OG0000124	5	1	8	36	0	11	1	8	9	3	2	11	7
OG0000125	8	5	8	0	0	18	10	13	21	3	7	4	3
OG0000126	6	0	6	2	0	17	3	20	15	5	4	7	14
OG0000127	5	14	9	11	3	0	14	5	10	9	6	8	5
OG0000128	3	2	0	1	0	1	53	1	17	0	1	6	14
OG0000129	8	8	9	18	1	7	5	3	15	9	6	6	4
OG0000130	7	1	16	0	0	10	6	18	18	6	8	1	8
OG0000131	1	43	2	0	1	1	17	0	11	14	0	2	7
OG0000132	7	11	9	8	12	4	11	3	15	1	5	9	3
OG0000133	12	6	7	2	1	11	13	9	10	6	9	7	5
OG0000134	12	2	18	0	0	5	12	4	4	12	7	10	11
OG0000135	10	9	8	8	5	7	7	8	8	7	8	5	7
OG0000136	14	10	3	26	0	2	6	6	19	2	7	1	1
OG0000137	7	10	7	10	8	4	7	3	11	8	6	9	6
OG0000138	11	6	12	7	3	7	4	7	10	7	9	6	7
OG0000139	3	10	1	1	0	5	17	7	23	6	22	1	0
OG0000140	9	0	6	0	0	16	12	11	19	5	11	3	3
OG0000141	3	8	0	0	1	4	67	4	6	1	0	0	1
OG0000142	8	0	13	0	1	8	0	6	50	1	0	4	3
OG0000143	13	3	21	0	1	8	11	6	11	2	2	10	5
OG0000144	9	6	14	4	1	9	8	9	12	5	6	5	5
OG0000145	18	8	18	1	0	10	6	6	18	6	0	2	0
OG0000146	9	8	4	8	4	8	3	9	16	4	6	9	5
OG0000147	11	6	3	1	0	7	41	5	3	1	2	6	7
OG0000148	8	16	14	0	0	4	9	14	6	5	9	6	2
OG0000149	8	9	2	14	4	3	8	6	12	8	8	9	1
OG0000150	4	6	8	4	0	10	11	5	6	7	5	15	11
OG0000151	14	4	11	0	0	1	4	1	32	6	4	6	8
OG0000152	7	10	3	9	5	1	13	4	11	9	7	6	6
OG0000153	7	5	5	13	5	4	2	5	20	7	7	6	5
OG0000154	11	8	7	6	2	8	10	5	13	4	9	5	3
OG0000155	6	7	9	5	1	6	9	5	11	11	8	4	9
OG0000156	13	8	3	11	4	5	8	5	10	8	0	8	8
OG0000157	0	0	0	0	89	0	0	0	2	0	0	0	0
OG0000158	10	5	10	8	8	4	1	6	10	9	4	4	11
OG0000159	9	7	2	12	2	8	8	4	11	7	6	8	6
OG0000160	7	8	7	9	8	9	7	9	6	8	0	5	7
OG0000161	9	4	14	0	3	4	6	4	14	11	10	5	5
OG0000162	5	11	6	12	5	2	9	2	0	10	10	8	9
OG0000163	8	6	0	0	23	1	27	3	4	4	2	7	4
OG0000164	7	12	4	4	4	3	22	3	6	4	14	3	3
OG0000165	2	3	5	0	0	23	6	27	2	0	4	7	10
OG0000166	33	1	16	1	1	6	1	6	7	2	2	8	4
OG0000167	11	2	35	0	0	4	8	6	7	3	10	1	1
OG0000168	5	7	3	16	0	5	8	6	7	11	9	9	2
OG0000169	6	5	3	3	4	7	10	9	19	7	13	1	1
OG0000170	19	1	5	0	17	4	9	9	17	1	0	2	3
OG0000171	10	4	15	4	1	5	12	5	13	2	7	2	7
OG0000172	6	0	14	0	0	12	10	6	6	5	16	11	1
OG0000173	6	10	5	9	3	3	7	7	10	8	9	4	6
OG0000174	8	1	10	0	0	7	12	1	14	7	11	9	6
OG0000175	5	6	7	6	3	4	7	5	9	9	10	8	7
OG0000176	4	2	3	3	36	5	4	10	4	5	6	1	3
OG0000177	7	6	7	11	0	6	7	4	13	8	11	1	5
OG0000178	10	2	10	0	0	2	5	2	27	4	3	5	16
OG0000179	8	7	1	5	1	8	5	5	25	6	6	4	5
OG0000180	10	10	0	0	0	7	8	13	23	1	9	2	3
OG0000181	4	10	5	6	3	14	6	10	9	5	5	3	6
OG0000182	1	0	0	0	0	0	0	0	1	0	0	79	5
OG0000183	8	3	8	7	1	6	5	10	10	5	9	7	6
OG0000184	2	1	0	23	0	18	1	26	6	4	1	1	2
OG0000185	3	7	9	22	0	2	7	3	8	8	6	5	5
OG0000186	9	0	25	2	0	4	5	13	7	1	9	0	8
OG0000187	5	5	3	11	0	12	7	12	8	8	7	3	2
OG0000188	8	8	4	11	3	4	4	4	10	6	8	8	5
OG0000189	10	3	4	2	0	8	8	5	14	9	5	9	6
OG0000190	12	5	12	0	0	1	4	20	5	5	4	6	8
OG0000191	3	1	43	0	0	4	1	1	18	1	1	3	6
OG0000192	11	6	2	1	1	8	7	11	12	11	5	4	3
OG0000193	5	6	10	2	4	9	6	5	9	4	7	7	7
OG0000194	16	7	4	5	3	6	5	5	6	7	6	7	4
OG0000195	7	10	7	4	1	2	11	2	8	7	8	6	8
OG0000196	13	6	4	4	5	6	5	6	10	5	5	7	5
OG0000197	3	4	6	9	0	12	11	13	4	3	11	1	4
OG0000198	19	1	26	0	0	0	0	1	30	2	0	1	0
OG0000199	15	3	5	0	0	2	15	3	21	7	8	0	1
OG0000200	7	7	9	2	0	3	7	3	16	8	9	6	3
OG0000201	3	5	8	6	4	9	9	11	3	6	9	2	4
OG0000202	8	5	9	7	7	7	3	6	7	5	5	5	5
OG0000203	11	2	6	0	0	6	2	15	24	1	1	7	4
OG0000204	0	0	20	1	1	6	0	6	9	7	27	0	2
OG0000205	6	11	7	7	0	3	10	4	8	9	5	3	5
OG0000206	5	9	8	5	1	3	6	3	8	4	7	9	10
OG0000207	0	2	0	0	0	0	75	0	1	0	0	0	0
OG0000208	13	9	10	6	0	1	6	2	8	7	6	2	7
OG0000209	12	6	8	4	2	5	8	5	7	5	6	4	5
OG0000210	9	1	8	2	0	5	5	6	12	13	8	3	5
OG0000211	6	8	7	7	0	3	8	5	8	7	8	5	5
OG0000212	3	4	7	1	0	1	26	3	26	0	4	1	1
OG0000213	0	8	1	0	3	0	16	1	0	1	1	2	44
OG0000214	5	5	7	1	0	2	9	3	8	2	7	10	17
OG0000215	2	9	8	6	1	4	11	3	1	10	8	6	7
OG0000216	1	10	15	3	2	6	5	2	16	5	0	8	3
OG0000217	0	2	5	4	43	3	1	4	3	0	1	8	2
OG0000218	12	2	5	8	0	5	6	9	12	3	1	7	5
OG0000219	8	4	10	1	1	4	4	6	13	5	4	7	8
OG0000220	7	7	0	8	11	6	7	3	3	7	2	7	7
OG0000221	1	0	0	0	0	0	0	0	2	0	0	70	2
OG0000222	6	8	1	2	3	1	11	1	16	9	13	2	1
OG0000223	2	0	4	0	0	0	0	1	5	1	0	50	11
OG0000224	6	6	10	3	12	8	2	12	6	3	0	6	0
OG0000225	4	5	4	7	1	4	10	8	7	7	7	4	6
OG0000226	6	0	6	0	0	4	7	1	15	16	12	0	6
OG0000227	9	5	7	9	1	6	6	6	7	5	5	4	3
OG0000228	13	5	4	6	2	5	5	3	9	4	6	5	6
OG0000229	10	2	2	9	8	5	3	5	8	7	2	7	5
OG0000230	5	4	7	1	0	6	5	6	19	5	6	5	4
OG0000231	12	3	5	11	3	2	3	4	6	4	5	9	6
OG0000232	13	8	8	4	0	2	7	3	7	4	5	5	7
OG0000233	2	0	0	0	0	8	8	3	8	0	1	41	2
OG0000234	11	0	5	2	0	8	6	7	23	2	7	0	2
OG0000235	4	7	7	9	4	4	5	5	6	7	6	4	5
OG0000236	0	0	0	0	0	4	2	4	16	40	7	0	0
OG0000237	14	5	6	12	0	2	5	3	6	8	4	3	4
OG0000238	3	11	4	12	0	5	8	4	8	4	5	4	4
OG0000239	5	7	9	6	1	3	7	3	10	8	6	3	4
OG0000240	8	6	6	3	3	5	7	4	6	6	7	5	6
OG0000241	8	1	11	2	0	8	3	13	7	9	6	1	2
OG0000242	4	3	23	0	1	2	7	10	12	6	2	1	0
OG0000243	14	1	12	2	0	0	19	0	8	0	0	4	11
OG0000244	5	1	1	1	0	10	1	12	13	0	0	20	7
OG0000245	5	4	5	1	2	3	23	8	8	0	2	7	3
OG0000246	8	7	6	8	5	0	8	1	7	6	4	5	6
OG0000247	10	1	2	4	0	12	7	0	22	1	9	0	2
OG0000248	13	5	7	12	1	4	6	3	7	3	6	2	1
OG0000249	7	5	10	3	2	6	5	7	4	5	8	4	4
OG0000250	9	0	42	0	0	3	0	2	11	0	0	2	1
OG0000251	12	5	14	4	0	1	9	2	12	4	1	4	2
OG0000252	6	3	14	0	4	4	12	6	5	2	8	4	2
OG0000253	19	12	12	0	0	1	14	0	2	1	1	4	3
OG0000254	31	0	18	0	0	1	1	1	8	0	0	0	9
OG0000255	6	4	7	4	1	7	4	7	8	4	6	8	3
OG0000256	9	8	4	3	0	2	5	3	15	4	10	4	2
OG0000257	5	7	5	10	0	5	9	4	8	3	5	4	4
OG0000258	20	0	13	0	1	7	0	6	9	3	3	3	4
OG0000259	5	4	8	5	3	6	7	6	8	6	4	2	5
OG0000260	0	25	3	0	3	4	16	3	0	0	0	0	15
OG0000261	9	6	4	6	6	3	5	5	6	3	6	4	5
OG0000262	6	5	2	6	3	5	8	4	9	5	5	5	5
OG0000263	8	3	2	2	0	5	5	7	11	6	8	8	3
OG0000264	0	0	0	0	20	12	6	17	11	0	0	0	2
OG0000265	6	6	0	7	5	5	6	3	6	5	5	7	6
OG0000266	8	2	10	1	1	4	3	4	8	6	6	10	4
OG0000267	22	2	16	2	1	1	2	1	4	1	2	6	7
OG0000268	7	5	5	5	5	5	5	5	5	5	5	5	5
OG0000269	6	7	1	7	7	4	7	5	5	7	2	4	5
OG0000270	8	4	1	5	6	4	6	4	7	5	6	5	6
OG0000271	8	5	6	5	3	4	9	3	7	4	5	4	3
OG0000272	9	3	7	5	2	4	4	3	8	3	7	6	5
OG0000273	7	0	2	2	1	6	4	19	4	6	1	0	14
OG0000274	4	0	2	2	0	1	0	19	14	2	16	4	2
OG0000275	0	9	1	2	3	2	41	3	2	1	2	0	0
OG0000276	0	3	4	3	21	8	5	6	7	3	2	2	2
OG0000277	10	3	6	2	2	5	2	6	8	4	7	5	5
OG0000278	5	1	11	0	0	7	4	5	6	3	7	6	10
OG0000279	4	4	10	5	5	7	9	12	2	3	1	1	2
OG0000280	5	5	5	5	7	5	5	5	6	5	1	5	6
OG0000281	8	5	9	1	0	6	7	1	6	6	6	3	7
OG0000282	3	10	5	7	5	7	7	4	1	5	5	2	4
OG0000283	1	6	7	7	3	4	6	4	9	11	0	3	4
OG0000284	4	5	5	5	3	3	5	5	8	7	7	3	5
OG0000285	27	0	0	0	0	0	0	2	32	1	1	0	1
OG0000286	4	4	6	5	3	9	5	7	5	4	5	3	4
OG0000287	7	4	5	6	3	5	7	4	7	3	5	4	4
OG0000288	0	8	0	0	0	0	55	0	1	0	0	0	0
OG0000289	5	6	7	2	8	3	1	4	9	5	5	4	4
OG0000290	8	2	12	7	4	1	2	2	5	3	2	4	11
OG0000291	8	4	5	5	2	4	5	4	6	5	6	4	5
OG0000292	6	6	4	3	3	2	6	2	10	7	7	3	4
OG0000293	7	5	4	3	11	3	6	3	4	5	5	4	3
OG0000294	9	4	13	5	0	4	4	4	14	2	2	0	2
OG0000295	10	7	0	4	2	5	7	2	7	7	1	5	6
OG0000296	4	5	5	10	0	4	4	3	6	6	5	6	5
OG0000297	6	4	3	5	4	4	5	6	6	5	5	5	5
OG0000298	2	5	3	21	1	0	6	3	4	6	4	4	4
OG0000299	1	1	17	0	12	4	3	9	3	2	6	4	1
OG0000300	0	2	0	0	0	0	10	0	45	0	6	0	0
OG0000301	6	0	3	2	0	5	8	3	13	7	11	0	4
OG0000302	7	6	2	6	3	4	7	4	4	5	3	5	6
OG0000303	7	4	6	4	0	4	8	3	6	5	6	4	5
OG0000304	5	0	9	0	3	0	10	2	6	2	4	4	17
OG0000305	8	6	3	6	1	5	2	5	6	4	4	9	3
OG0000306	4	0	0	1	8	2	20	0	22	1	0	3	1
OG0000307	0	0	5	0	0	8	0	19	16	11	0	3	0
OG0000308	0	0	1	1	0	0	20	0	18	15	7	0	0
OG0000309	12	2	3	2	1	9	2	8	3	3	3	6	7
OG0000310	4	5	4	0	3	6	17	10	3	1	6	1	1
OG0000311	4	0	0	1	25	0	2	0	11	0	1	3	14
OG0000312	3	5	4	13	0	4	11	3	4	2	5	3	4
OG0000313	7	5	2	6	1	5	6	3	4	3	4	4	11
OG0000314	7	5	7	4	3	4	5	3	4	4	3	7	5
OG0000315	8	6	4	1	1	6	7	6	8	1	8	3	2
OG0000316	3	4	3	3	4	9	6	6	5	3	5	5	5
OG0000317	11	4	4	2	3	3	5	4	10	5	4	3	2
OG0000318	5	4	5	10	2	3	4	2	12	3	3	2	5
OG0000319	8	1	4	0	0	8	8	11	14	1	2	2	1
OG0000320	7	3	6	11	1	4	3	2	5	5	4	4	5
OG0000321	1	8	4	5	2	3	17	5	4	4	2	1	4
OG0000322	7	4	2	4	2	1	5	3	15	10	2	4	1
OG0000323	3	4	5	3	8	5	3	4	8	4	5	4	4
OG0000324	3	1	1	0	1	1	2	13	33	1	1	1	2
OG0000325	3	2	4	3	10	5	8	10	5	3	4	0	3
OG0000326	5	3	9	7	2	4	5	4	11	3	4	1	2
OG0000327	3	5	4	5	0	2	7	3	7	6	9	4	5
OG0000328	9	1	8	0	0	8	3	15	5	3	1	1	5
OG0000329	7	0	1	7	0	10	4	12	10	1	3	3	1
OG0000330	8	4	5	4	2	4	4	4	5	5	5	4	5
OG0000331	9	3	7	6	0	3	4	3	8	0	5	6	5
OG0000332	8	2	9	0	0	6	3	7	7	1	2	7	7
OG0000333	5	5	4	4	11	2	5	2	4	5	5	3	4
OG0000334	6	4	6	2	2	2	7	3	6	6	7	4	4
OG0000335	3	8	5	8	0	1	8	2	8	5	4	3	4
OG0000336	4	5	5	3	2	4	5	4	6	6	7	4	4
OG0000337	2	1	4	3	0	10	1	7	6	4	6	9	6
OG0000338	9	1	6	1	0	2	0	0	34	0	1	3	2
OG0000339	4	0	12	0	0	4	0	13	20	5	1	0	0
OG0000340	10	1	8	0	0	5	1	5	24	0	3	0	1
OG0000341	3	2	9	3	0	6	2	5	7	6	8	4	3
OG0000342	8	6	1	1	1	4	6	3	9	6	9	2	2
OG0000343	7	1	11	3	12	6	1	5	2	2	3	3	2
OG0000344	9	4	14	1	0	1	5	2	6	1	6	5	4
OG0000345	9	6	3	4	6	2	4	5	0	4	2	5	8
OG0000346	5	1	11	3	5	1	6	6	11	0	5	2	2
OG0000347	5	3	1	0	0	4	13	6	13	9	0	3	1
OG0000348	7	6	5	3	3	1	4	0	8	4	2	7	8
OG0000349	5	6	5	8	2	3	4	4	5	4	4	4	4
OG0000350	6	3	8	3	4	6	2	5	5	7	4	2	3
OG0000351	6	1	14	0	0	8	10	3	5	0	6	4	1
OG0000352	0	0	0	0	0	11	0	20	8	0	3	12	4
OG0000353	9	5	14	1	0	4	5	4	2	3	4	3	3
OG0000354	5	4	2	5	3	6	8	6	4	4	8	1	1
OG0000355	6	5	4	4	2	5	5	4	4	3	5	6	4
OG0000356	4	6	5	4	1	2	6	2	10	4	4	3	6
OG0000357	2	9	9	3	4	3	8	6	2	2	3	1	5
OG0000358	6	2	14	2	0	6	7	2	7	0	7	3	1
OG0000359	4	3	6	2	2	5	7	5	12	4	3	2	2
OG0000360	1	5	0	10	0	5	2	8	15	1	5	5	0
OG0000361	4	9	5	8	1	3	3	4	4	4	5	3	3
OG0000362	1	2	8	0	2	2	1	2	22	3	8	2	3
OG0000363	3	5	7	5	0	2	3	4	11	6	5	2	3
OG0000364	3	5	5	6	1	4	6	2	5	4	2	7	6
OG0000365	7	1	3	1	9	2	3	2	6	2	5	7	8
OG0000366	4	3	1	8	1	3	4	8	7	6	2	7	2
OG0000367	5	4	0	9	1	4	4	5	9	5	4	4	2
OG0000368	4	6	4	6	3	3	4	2	5	5	5	5	4
OG0000369	2	0	2	2	0	8	5	14	19	1	3	0	0
OG0000370	0	2	2	0	0	5	4	2	13	20	1	1	6
OG0000371	7	3	10	0	0	1	5	3	16	3	4	2	1
OG0000372	4	4	3	11	0	5	1	4	11	1	5	4	2
OG0000373	3	3	2	5	8	2	4	8	4	3	12	0	1
OG0000374	2	8	4	5	2	3	8	3	5	3	4	4	4
OG0000375	6	5	4	5	3	3	3	1	6	6	5	4	4
OG0000376	7	4	7	1	1	2	6	2	5	4	6	5	4
OG0000377	6	4	5	4	4	4	4	3	4	4	4	4	4
OG0000378	7	1	5	4	1	14	2	7	8	2	1	1	1
OG0000379	8	2	4	2	3	3	3	6	10	3	3	4	3
OG0000380	12	1	4	3	4	1	1	0	5	7	11	3	2
OG0000381	7	2	3	1	0	2	2	4	16	3	2	9	3
OG0000382	5	0	7	0	2	7	10	4	13	0	2	4	0
OG0000383	4	3	3	6	0	2	4	3	8	4	7	5	5
OG0000384	3	0	0	0	2	2	3	4	9	3	0	27	1
OG0000385	6	5	4	5	3	3	4	4	4	4	4	4	4
OG0000386	6	4	4	3	1	4	6	5	7	5	4	2	3
OG0000387	42	0	9	0	0	0	0	0	1	0	0	1	0
OG0000388	9	3	5	8	1	0	5	0	6	5	2	4	5
OG0000389	6	8	3	2	2	4	3	3	2	5	8	4	3
OG0000390	6	0	5	1	12	2	5	1	4	4	4	5	4
OG0000391	7	2	5	5	6	4	2	3	8	5	2	2	2
OG0000392	3	4	5	5	0	1	4	2	7	7	12	1	2
OG0000393	0	6	4	0	0	0	10	0	5	13	10	0	5
OG0000394	3	3	2	11	4	5	3	5	3	4	3	3	3
OG0000395	4	1	7	1	1	6	6	5	6	2	3	8	2
OG0000396	6	0	0	4	0	4	3	3	22	7	2	0	1
OG0000397	5	1	2	1	1	4	17	2	6	6	3	1	3
OG0000398	4	3	10	1	0	5	2	2	9	2	1	7	6
OG0000399	2	5	7	5	2	3	4	3	5	3	1	4	8
OG0000400	8	4	3	7	0	1	5	1	8	4	5	4	2
OG0000401	5	4	4	4	4	4	5	4	3	3	4	4	4
OG0000402	5	1	6	2	0	2	2	3	11	8	6	3	3
OG0000403	1	9	1	1	1	1	18	1	3	6	8	1	1
OG0000404	0	0	0	0	0	0	0	0	33	14	5	0	0
OG0000405	11	2	1	1	0	3	1	4	10	3	6	6	3
OG0000406	3	1	0	1	1	4	1	4	17	2	13	1	3
OG0000407	7	3	7	0	0	2	5	5	10	3	4	3	2
OG0000408	3	1	12	0	4	5	4	4	5	2	4	4	3
OG0000409	7	5	3	7	0	4	2	1	7	3	5	4	3
OG0000410	3	0	5	0	0	4	5	21	5	7	1	0	0
OG0000411	2	1	0	0	0	1	7	0	15	17	8	0	0
OG0000412	8	0	8	0	0	0	0	0	0	0	0	35	0
OG0000413	10	2	4	3	1	3	4	3	6	4	4	4	3
OG0000414	7	4	5	4	1	5	2	6	1	5	4	3	4
OG0000415	8	2	10	5	1	3	5	4	1	2	3	4	3
OG0000416	5	2	5	1	1	2	8	6	3	3	3	6	6
OG0000417	3	2	0	0	24	4	7	3	2	1	0	1	4
OG0000418	2	4	16	2	1	5	1	8	2	3	1	4	2
OG0000419	9	4	3	1	0	9	5	8	1	3	1	3	4
OG0000420	3	4	3	4	6	4	3	4	6	3	3	4	4
OG0000421	4	2	6	4	8	3	2	4	2	3	8	3	2
OG0000422	4	4	1	1	0	7	4	5	11	4	5	3	2
OG0000423	1	0	7	0	0	3	0	2	19	6	8	3	2
OG0000424	7	3	5	2	2	4	8	6	3	3	4	2	2
OG0000425	1	2	4	0	0	1	6	0	17	4	1	12	3
OG0000426	0	1	0	0	0	0	47	0	2	0	0	1	0
OG0000427	4	1	6	0	1	5	0	5	16	3	3	2	4
OG0000428	3	1	2	0	0	4	2	5	10	3	2	12	6
OG0000429	9	3	9	2	0	5	8	6	1	2	1	3	1
OG0000430	3	6	4	4	3	3	4	4	4	4	3	4	4
OG0000431	8	0	3	1	7	7	2	6	3	3	3	5	2
OG0000432	6	5	4	5	3	2	4	2	4	4	4	3	4
