elegans_gene_id,prot_length,file,elegans_gene_id,Your Input,Public Name
T26A5.8,123,1038.fa,T26A5.8,T26A5.8,T26A5.8
C01G10.9,316,1039.fa,C01G10.9,C01G10.9,C01G10.9
K10C2.4,333,103.fa,K10C2.4,K10C2.4,fah-1
R09F10.1,304,1040.fa,R09F10.1,R09F10.1,R09F10.1
R09F10.5,125,1041.fa,R09F10.5,R09F10.5,R09F10.5
K02G10.4,108,1042.fa,K02G10.4,K02G10.4,flp-11
C24H10.5,111,1043.fa,C24H10.5,C24H10.5,cal-5
B0024.9,121,1044.fa,B0024.9,B0024.9,trx-2
F46G10.2,508,1045.fa,F46G10.2,F46G10.2,F46G10.2
ZK525.2,203,1046.fa,ZK525.2,ZK525.2,aqp-11
R05G6.9,329,1047.fa,R05G6.9,R05G6.9,R05G6.9
K04F10.4,571,1048.fa,K04F10.4,K04F10.4,bli-4
T23B12.5,68,1049.fa,T23B12.5,T23B12.5,T23B12.5
JC8.7,283,104.fa,JC8.7,JC8.7,JC8.7
T19C3.2,193,1050.fa,T19C3.2,T19C3.2,T19C3.2
Y43F8C.8,94,1051.fa,Y43F8C.8,Y43F8C.8,mrps-28
C05D10.3,484,1052.fa,C05D10.3,C05D10.3,wht-1
F49E10.2,528,1053.fa,F49E10.2,F49E10.2,F49E10.2
ZK682.7,122,1054.fa,ZK682.7,ZK682.7,ZK682.7
B0198.2,96,1055.fa,B0198.2,B0198.2,B0198.2
F19H6.2,278,1056.fa,F19H6.2,F19H6.2,glb-13
W01C8.6,508,1057.fa,W01C8.6,W01C8.6,cat-1
C25F6.7,304,1058.fa,C25F6.7,C25F6.7,itm-2
B0302.5,104,1059.fa,B0302.5,B0302.5,B0302.5
W02F12.2,254,105.fa,W02F12.2,W02F12.2,W02F12.2
C14F11.4,353,1060.fa,C14F11.4,C14F11.4,C14F11.4
T26C5.2,498,1061.fa,T26C5.2,T26C5.2,T26C5.2
T27A10.2,211,1062.fa,T27A10.2,T27A10.2,T27A10.2
T06D8.5,109,1063.fa,T06D8.5,T06D8.5,cox-15
C54D1.5,1633,1064.fa,C54D1.5,C54D1.5,lam-2
T28D6.5,169,1065.fa,T28D6.5,T28D6.5,T28D6.5
C12D12.5,185,1066.fa,C12D12.5,C12D12.5,sox-4
T07F10.1,812,1067.fa,T07F10.1,T07F10.1,anp-1
ZC434.2,194,1068.fa,ZC434.2,ZC434.2,rps-7
F59A1.10,188,1069.fa,F59A1.10,F59A1.10,dgat-2
C11H1.9,299,106.fa,C11H1.9,C11H1.9,C11H1.9
F58G1.4,121,1070.fa,F58G1.4,F58G1.4,dct-18
F48C1.5,104,1071.fa,F48C1.5,F48C1.5,F48C1.5
B0238.9,289,1072.fa,B0238.9,B0238.9,B0238.9
ZK1098.4,285,1073.fa,ZK1098.4,ZK1098.4,eif-2Balpha
F13E6.2,373,1074.fa,F13E6.2,F13E6.2,F13E6.2
T06F4.2,917,1075.fa,T06F4.2,T06F4.2,clh-4
C33G3.4,477,1076.fa,C33G3.4,C33G3.4,C33G3.4
C37H5.9,425,1077.fa,C37H5.9,C37H5.9,nas-9
C30F2.3,304,1078.fa,C30F2.3,C30F2.3,idpp-14
Y66D12A.24,237,1079.fa,Y66D12A.24,Y66D12A.24,Y66D12A.24
C48B4.3,199,107.fa,C48B4.3,C48B4.3,C48B4.3
F55H2.1,152,1080.fa,F55H2.1,F55H2.1,sod-4
C34D1.3,235,1081.fa,C34D1.3,C34D1.3,odr-3
C31E10.8,910,1082.fa,C31E10.8,C31E10.8,tbc-19
K11D12.8,47,1083.fa,K11D12.8,K11D12.8,K11D12.8
T24F1.3,0,1084.fa,T24F1.3,T24F1.3,rsf-1
Y67D2.3,108,1085.fa,Y67D2.3,Y67D2.3,cisd-3.2
F58E10.2,104,1086.fa,F58E10.2,F58E10.2,end-1
Y39A1A.1,266,1087.fa,Y39A1A.1,Y39A1A.1,epg-6
K07E3.2,645,1088.fa,K07E3.2,K07E3.2,K07E3.2
T07D1.4,392,1089.fa,T07D1.4,T07D1.4,fox-1
F13B10.2,399,108.fa,F13B10.2,F13B10.2,rpl-3
Y56A3A.33,290,1090.fa,Y56A3A.33,Y56A3A.33,Y56A3A.33
ZK757.10,86,1091.fa,ZK757.10,ZK757.10,ZK757.10
R02F11.2,222,1092.fa,R02F11.2,R02F11.2,R02F11.2
Y50E8A.7,289,1093.fa,Y50E8A.7,Y50E8A.7,lipl-8
C54G7.2,478,1094.fa,C54G7.2,C54G7.2,mboa-3
F13D11.1,360,1095.fa,F13D11.1,F13D11.1,acp-5
T07F10.6,67,1096.fa,T07F10.6,T07F10.6,nspg-1
F46F6.1,630,1097.fa,F46F6.1,F46F6.1,rme-4
T02D1.4,191,1098.fa,T02D1.4,T02D1.4,T02D1.4
F59F3.6,173,1099.fa,F59F3.6,F59F3.6,F59F3.6
H10E21.2,354,109.fa,H10E21.2,H10E21.2,npr-30
F36A2.3,371,10.fa,F36A2.3,F36A2.3,F36A2.3
F54D5.9,156,1100.fa,F54D5.9,F54D5.9,F54D5.9
F57B9.5,391,1101.fa,F57B9.5,F57B9.5,byn-1
ZC334.7,30,1102.fa,ZC334.7,ZC334.7,ZC334.7
C18E9.7,730,1103.fa,C18E9.7,C18E9.7,C18E9.7
T02E1.5,168,1104.fa,T02E1.5,T02E1.5,dhs-3
Y57A10A.35,115,1105.fa,Y57A10A.35,Y57A10A.35,aqp-12
K04H4.7,57,1106.fa,K04H4.7,K04H4.7,flp-25
T15B7.2,180,1107.fa,T15B7.2,T15B7.2,hpo-8
C39D10.11,295,1108.fa,C39D10.11,C39D10.11,C39D10.11
R07H5.3,92,1109.fa,R07H5.3,R07H5.3,nuaf-3
T26A5.1,433,110.fa,T26A5.1,T26A5.1,wht-6
C05E7.4,332,1110.fa,C05E7.4,C05E7.4,frpr-2
Y105C5B.2,485,1111.fa,Y105C5B.2,Y105C5B.2,gcy-25
T24D1.4,287,1112.fa,T24D1.4,T24D1.4,algn-10
C18E3.8,262,1113.fa,C18E3.8,C18E3.8,hop-1
C34F6.8,435,1114.fa,C34F6.8,C34F6.8,idh-2
F08G12.5,171,1115.fa,F08G12.5,F08G12.5,F08G12.5
Y41C4A.13,103,1116.fa,Y41C4A.13,Y41C4A.13,sup-1
Y7A9A.1,535,1117.fa,Y7A9A.1,Y7A9A.1,Y7A9A.1
VF11C1L.1,1441,1118.fa,VF11C1L.1,VF11C1L.1,ppk-3
Y54G2A.25,659,1119.fa,Y54G2A.25,Y54G2A.25,lad-2
Y38F1A.7,43,111.fa,Y38F1A.7,Y38F1A.7,Y38F1A.7
F53F8.5,140,1120.fa,F53F8.5,F53F8.5,F53F8.5
F59A3.1,853,1121.fa,F59A3.1,F59A3.1,cpd-1
Y39E4B.4,180,1122.fa,Y39E4B.4,Y39E4B.4,tsp-3
Y73F8A.6,277,1123.fa,Y73F8A.6,Y73F8A.6,ccg-1
F26F12.4,135,1124.fa,F26F12.4,F26F12.4,F26F12.4
F01E11.5,273,1125.fa,F01E11.5,F01E11.5,tyra-2
F56F11.3,265,1126.fa,F56F11.3,F56F11.3,klf-1
F39B2.2,139,1127.fa,F39B2.2,F39B2.2,uev-1
T13H5.6,242,1128.fa,T13H5.6,T13H5.6,gldi-7
C14B1.2,95,1129.fa,C14B1.2,C14B1.2,C14B1.2
Y48G1C.8,1253,112.fa,Y48G1C.8,Y48G1C.8,Y48G1C.8
D1009.4,224,1130.fa,D1009.4,D1009.4,nlp-14
Y54H5A.3,164,1131.fa,Y54H5A.3,Y54H5A.3,rbm-42
Y57G11C.11,124,1132.fa,Y57G11C.11,Y57G11C.11,coq-3
ZK863.2,66,1133.fa,ZK863.2,ZK863.2,col-37
C17H12.10,160,1134.fa,C17H12.10,C17H12.10,C17H12.10
F11C1.3,195,1135.fa,F11C1.3,F11C1.3,scav-4
C54H2.1,261,1136.fa,C54H2.1,C54H2.1,sym-3
F56F3.2,631,1137.fa,F56F3.2,F56F3.2,ndg-4
Y49E10.24,258,1138.fa,Y49E10.24,Y49E10.24,arrd-16
ZK688.6,338,1139.fa,ZK688.6,ZK688.6,pcp-5
R74.6,380,113.fa,R74.6,R74.6,pelo-1
T23G11.1,155,1140.fa,T23G11.1,T23G11.1,T23G11.1
C04A11.2,371,1141.fa,C04A11.2,C04A11.2,C04A11.2
F01D4.6,82,1142.fa,F01D4.6,F01D4.6,mec-3
Y76B12C.7,247,1143.fa,Y76B12C.7,Y76B12C.7,cpsf-1
C29E4.13,162,1144.fa,C29E4.13,C29E4.13,C29E4.13
R03A10.6,428,1145.fa,R03A10.6,R03A10.6,sprr-1
F32A6.2,618,1146.fa,F32A6.2,F32A6.2,ift-81
T25C12.1,365,1147.fa,T25C12.1,T25C12.1,lin-14
F29G9.5,362,1148.fa,F29G9.5,F29G9.5,rpt-2
F52H2.7,734,1149.fa,F52H2.7,F52H2.7,ccd-5
F10E7.9,531,114.fa,F10E7.9,F10E7.9,F10E7.9
C01G6.9,107,1150.fa,C01G6.9,C01G6.9,C01G6.9
ZK973.10,44,1151.fa,ZK973.10,ZK973.10,lpd-5
F49E7.1,880,1152.fa,F49E7.1,F49E7.1,rme-6
Y74E4A.1,358,1153.fa,Y74E4A.1,Y74E4A.1,lgc-27
C23H3.2,69,1154.fa,C23H3.2,C23H3.2,C23H3.2
Y66H1A.4,166,1155.fa,Y66H1A.4,Y66H1A.4,garr-1
F23G4.1,120,1156.fa,F23G4.1,F23G4.1,F23G4.1
Y61A9LA.10,830,1157.fa,Y61A9LA.10,Y61A9LA.10,Y61A9LA.10
F07H5.7,190,1158.fa,F07H5.7,F07H5.7,F07H5.7
E01G4.1,565,1159.fa,E01G4.1,E01G4.1,tbc-14
W01F3.1,322,115.fa,W01F3.1,W01F3.1,mnr-1
DY3.2,564,1160.fa,DY3.2,DY3.2,lmn-1
M142.8,185,1161.fa,M142.8,M142.8,M142.8
C35C5.8,329,1162.fa,C35C5.8,C35C5.8,C35C5.8
W02H3.3,101,1163.fa,W02H3.3,W02H3.3,W02H3.3
ZC84.3,903,1164.fa,ZC84.3,ZC84.3,cls-3
ZK563.6,295,1165.fa,ZK563.6,ZK563.6,acp-1
T03F6.2,241,1166.fa,T03F6.2,T03F6.2,dnj-17
T18D3.3,290,1167.fa,T18D3.3,T18D3.3,cdf-2
Y71H10B.1,554,1168.fa,Y71H10B.1,Y71H10B.1,Y71H10B.1
Y94H6A.9,172,1169.fa,Y94H6A.9,Y94H6A.9,ubxn-2
C34D4.9,383,116.fa,C34D4.9,C34D4.9,nas-8
T01G9.2,173,1170.fa,T01G9.2,T01G9.2,T01G9.2
C05D2.8,356,1171.fa,C05D2.8,C05D2.8,C05D2.8
ZK896.8,653,1172.fa,ZK896.8,ZK896.8,gcy-18
T14F9.1,455,1173.fa,T14F9.1,T14F9.1,vha-15
B0395.3,607,1174.fa,B0395.3,B0395.3,B0395.3
F38G1.3,183,1175.fa,F38G1.3,F38G1.3,F38G1.3
T07C4.3,277,1176.fa,T07C4.3,T07C4.3,T07C4.3
T03G6.3,464,1177.fa,T03G6.3,T03G6.3,T03G6.3
R05C11.1,24,1178.fa,R05C11.1,R05C11.1,arrd-26
C26E1.3,421,1179.fa,C26E1.3,C26E1.3,ceh-79
Y37E11AL.3,217,117.fa,Y37E11AL.3,Y37E11AL.3,Y37E11AL.3
B0399.1,265,1180.fa,B0399.1,B0399.1,kcnl-1
Y80D3A.7,447,1181.fa,Y80D3A.7,Y80D3A.7,ptr-22
K05B2.5,652,1182.fa,K05B2.5,K05B2.5,mct-4
F14D12.5,356,1183.fa,F14D12.5,F14D12.5,sulp-2
T24D11.1,414,1184.fa,T24D11.1,T24D11.1,eat-17
F39B2.3,146,1185.fa,F39B2.3,F39B2.3,F39B2.3
Y92H12BL.4,386,1186.fa,Y92H12BL.4,Y92H12BL.4,Y92H12BL.4
Y57A10A.28,313,1187.fa,Y57A10A.28,Y57A10A.28,tric-1B.2
K04G11.5,245,1188.fa,K04G11.5,K04G11.5,irk-3
C44F1.3,202,1189.fa,C44F1.3,C44F1.3,lec-4
Y48A6B.9,299,118.fa,Y48A6B.9,Y48A6B.9,Y48A6B.9
Y37E11AL.1,320,1190.fa,Y37E11AL.1,Y37E11AL.1,Y37E11AL.1
C16C10.10,238,1191.fa,C16C10.10,C16C10.10,glod-4
T24H10.1,303,1192.fa,T24H10.1,T24H10.1,T24H10.1
D1005.2,261,1193.fa,D1005.2,D1005.2,D1005.2
F57C12.1,540,1194.fa,F57C12.1,F57C12.1,nas-38
Y73E7A.4,85,1195.fa,Y73E7A.4,Y73E7A.4,cpx-1
Y39A1A.7,110,1196.fa,Y39A1A.7,Y39A1A.7,lron-10
C36B1.12,582,1197.fa,C36B1.12,C36B1.12,imp-1
K04G2.6,281,1198.fa,K04G2.6,K04G2.6,vacl-14
F59D12.2,114,1199.fa,F59D12.2,F59D12.2,F59D12.2
K10B4.6,164,119.fa,K10B4.6,K10B4.6,cwn-1
T14B1.2,258,11.fa,T14B1.2,T14B1.2,aex-2
C14C11.3,294,1200.fa,C14C11.3,C14C11.3,hex-2
Y26E6A.2,399,1201.fa,Y26E6A.2,Y26E6A.2,Y26E6A.2
F28C6.3,428,1202.fa,F28C6.3,F28C6.3,cpf-1
C52E4.3,118,1203.fa,C52E4.3,C52E4.3,snr-4
C30H6.7,307,1204.fa,C30H6.7,C30H6.7,dlat-2
Y102A11A.8,530,1205.fa,Y102A11A.8,Y102A11A.8,igcm-4
F46C8.1,164,1206.fa,F46C8.1,F46C8.1,F46C8.1
Y71H2AM.19,597,1207.fa,Y71H2AM.19,Y71H2AM.19,laf-1
B0410.2,530,1208.fa,B0410.2,B0410.2,vang-1
T25C12.3,2093,1209.fa,T25C12.3,T25C12.3,T25C12.3
T27A8.1,449,120.fa,T27A8.1,T27A8.1,cpd-2
Y71H10A.2,534,1210.fa,Y71H10A.2,Y71H10A.2,fard-1
Y41D4A.7,135,1211.fa,Y41D4A.7,Y41D4A.7,Y41D4A.7
F28C6.6,588,1212.fa,F28C6.6,F28C6.6,suf-1
F54C4.3,855,1213.fa,F54C4.3,F54C4.3,attf-3
F42A10.4,663,1214.fa,F42A10.4,F42A10.4,efk-1
K01C8.9,465,1215.fa,K01C8.9,K01C8.9,nst-1
Y37D8A.14,174,1216.fa,Y37D8A.14,Y37D8A.14,cox-5A
C50F2.4,125,1217.fa,C50F2.4,C50F2.4,C50F2.4
F19C6.1,604,1218.fa,F19C6.1,F19C6.1,grk-1
F56D3.1,304,1219.fa,F56D3.1,F56D3.1,F56D3.1
K10D6.2,180,121.fa,K10D6.2,K10D6.2,clc-6
Y41C4A.9,474,1220.fa,Y41C4A.9,Y41C4A.9,Y41C4A.9
C43H6.9,559,1221.fa,C43H6.9,C43H6.9,glr-7
R01H2.7,171,1222.fa,R01H2.7,R01H2.7,R01H2.7
C27F2.4,234,1223.fa,C27F2.4,C27F2.4,C27F2.4
K02G10.5,631,1224.fa,K02G10.5,K02G10.5,K02G10.5
W09D10.1,452,1225.fa,W09D10.1,W09D10.1,smap-1
Y70D2A.1,411,1226.fa,Y70D2A.1,Y70D2A.1,npr-40
F21D12.5,160,1227.fa,F21D12.5,F21D12.5,npax-1
B0348.5,283,1228.fa,B0348.5,B0348.5,idpp-2
R07B1.8,120,1229.fa,R07B1.8,R07B1.8,R07B1.8
F44F4.6,397,122.fa,F44F4.6,F44F4.6,gly-1
ZK742.5,145,1230.fa,ZK742.5,ZK742.5,lbp-4
M88.6,282,1231.fa,M88.6,M88.6,pan-1
C17H12.14,177,1232.fa,C17H12.14,C17H12.14,vha-8
C29E6.4,553,1233.fa,C29E6.4,C29E6.4,cutl-27
ZK1067.7,340,1234.fa,ZK1067.7,ZK1067.7,abu-14
F08F1.3,87,1235.fa,F08F1.3,F08F1.3,F08F1.3
C52E12.1,840,1236.fa,C52E12.1,C52E12.1,znf-598
Y67A10A.9,603,1237.fa,Y67A10A.9,Y67A10A.9,clc-8
F56B6.5,178,1238.fa,F56B6.5,F56B6.5,npr-16
T01D3.5,314,1239.fa,T01D3.5,T01D3.5,zipt-9
C36A4.8,344,123.fa,C36A4.8,C36A4.8,brc-1
T03G11.3,249,1240.fa,T03G11.3,T03G11.3,zchc-1A
C47E8.3,312,1241.fa,C47E8.3,C47E8.3,C47E8.3
ZC449.1,411,1242.fa,ZC449.1,ZC449.1,ZC449.1
F11C3.2,379,1243.fa,F11C3.2,F11C3.2,unc-122
K08E3.6,613,1244.fa,K08E3.6,K08E3.6,cyk-4
Y73B6BL.3,181,1245.fa,Y73B6BL.3,Y73B6BL.3,exos-2
F13H6.1,213,1246.fa,F13H6.1,F13H6.1,bcl-11
Y105E8B.2,666,1247.fa,Y105E8B.2,Y105E8B.2,exoc-8
ZK816.5,264,1248.fa,ZK816.5,ZK816.5,dhs-26
C16C8.18,210,1249.fa,C16C8.18,C16C8.18,C16C8.18
F48E8.7,409,124.fa,F48E8.7,F48E8.7,skpt-1
ZK455.1,887,1250.fa,ZK455.1,ZK455.1,aco-1
C18B12.2,404,1251.fa,C18B12.2,C18B12.2,seb-3
C36B1.4,249,1252.fa,C36B1.4,C36B1.4,pas-4
F53E10.6,182,1253.fa,F53E10.6,F53E10.6,F53E10.6
ZK1290.13,143,1254.fa,ZK1290.13,ZK1290.13,ZK1290.13
C14H10.1,259,1255.fa,C14H10.1,C14H10.1,zipt-13
F41G4.2,327,1256.fa,F41G4.2,F41G4.2,cas-1
Y37E11AM.1,486,1257.fa,Y37E11AM.1,Y37E11AM.1,smgl-2
F57C7.2,586,1258.fa,F57C7.2,F57C7.2,nhx-5
K09C8.8,80,1259.fa,K09C8.8,K09C8.8,K09C8.8
ZK520.4,737,125.fa,ZK520.4,ZK520.4,cul-2
F40A3.5,165,1260.fa,F40A3.5,F40A3.5,nipi-4
C01C10.2,204,1261.fa,C01C10.2,C01C10.2,C01C10.2
C52A11.2,185,1262.fa,C52A11.2,C52A11.2,glb-12
C15H9.3,154,1263.fa,C15H9.3,C15H9.3,C15H9.3
R03E9.2,489,1264.fa,R03E9.2,R03E9.2,R03E9.2
D1009.1,614,1265.fa,D1009.1,D1009.1,acs-22
K09C8.3,418,1266.fa,K09C8.3,K09C8.3,nas-10
T03D8.3,207,1267.fa,T03D8.3,T03D8.3,sbt-1
F20D6.8,287,1268.fa,F20D6.8,F20D6.8,F20D6.8
F09B12.6,382,1269.fa,F09B12.6,F09B12.6,flr-4
Y79H2A.12,113,126.fa,Y79H2A.12,Y79H2A.12,Y79H2A.12
F55B12.3,470,1270.fa,F55B12.3,F55B12.3,sel-10
ZC376.5,453,1271.fa,ZC376.5,ZC376.5,trm-1
W02G9.2,653,1272.fa,W02G9.2,W02G9.2,kel-8
C25B8.3,378,1273.fa,C25B8.3,C25B8.3,cpr-6
F26B1.2,390,1274.fa,F26B1.2,F26B1.2,hrpk-1
K07E8.5,167,1275.fa,K07E8.5,K07E8.5,frpr-14
T27B1.1,1603,1276.fa,T27B1.1,T27B1.1,osm-1
C10E2.3,747,1277.fa,C10E2.3,C10E2.3,hda-4
F58B4.2,77,1278.fa,F58B4.2,F58B4.2,F58B4.2
B0344.2,387,1279.fa,B0344.2,B0344.2,wrt-9
F57B9.2,2455,127.fa,F57B9.2,F57B9.2,let-711
K08E3.1,592,1280.fa,K08E3.1,K08E3.1,tyr-2
F45E6.2,549,1281.fa,F45E6.2,F45E6.2,atf-6
C28A5.3,221,1282.fa,C28A5.3,C28A5.3,nex-3
F42A10.5,178,1283.fa,F42A10.5,F42A10.5,F42A10.5
C44C11.1,43,1284.fa,C44C11.1,C44C11.1,ras-1
W04G3.1,286,1285.fa,W04G3.1,W04G3.1,lpr-6
C16C10.13,67,1286.fa,C16C10.13,C16C10.13,C16C10.13
Y48G8AL.7,132,1287.fa,Y48G8AL.7,Y48G8AL.7,Y48G8AL.7
F58G11.1,705,1288.fa,F58G11.1,F58G11.1,letm-1
R11.1,275,1289.fa,R11.1,R11.1,slc-25A21
F09B12.3,549,128.fa,F09B12.3,F09B12.3,F09B12.3
W05H5.3,318,1290.fa,W05H5.3,W05H5.3,pitr-6
C15C6.1,114,1291.fa,C15C6.1,C15C6.1,C15C6.1
C02D4.1,176,1292.fa,C02D4.1,C02D4.1,jud-4
F07C3.2,120,1293.fa,F07C3.2,F07C3.2,F07C3.2
F45E1.7,449,1294.fa,F45E1.7,F45E1.7,sdpn-1
ZC404.9,427,1295.fa,ZC404.9,ZC404.9,gck-2
C28H8.12,317,1296.fa,C28H8.12,C28H8.12,dnc-2
M01A8.1,177,1297.fa,M01A8.1,M01A8.1,M01A8.1
C14B1.10,526,1298.fa,C14B1.10,C14B1.10,alkb-8
C09B8.1,408,1299.fa,C09B8.1,C09B8.1,ipp-5
Y47A7.2,254,129.fa,Y47A7.2,Y47A7.2,Y47A7.2
C14B9.3,298,12.fa,C14B9.3,C14B9.3,C14B9.3
K03E6.5,259,1300.fa,K03E6.5,K03E6.5,unc-1
F47B10.6,71,1301.fa,F47B10.6,F47B10.6,F47B10.6
T05B9.2,95,1302.fa,T05B9.2,T05B9.2,T05B9.2
H14N18.3,155,1303.fa,H14N18.3,H14N18.3,ttr-47
ZK697.2,337,1304.fa,ZK697.2,ZK697.2,nhr-256
F09G2.3,341,1305.fa,F09G2.3,F09G2.3,pitr-5
ZK1073.2,90,1306.fa,ZK1073.2,ZK1073.2,ZK1073.2
C54G10.4,296,1307.fa,C54G10.4,C54G10.4,slc-25A29
Y71H2AL.1,118,1308.fa,Y71H2AL.1,Y71H2AL.1,pbo-1
R186.6,382,1309.fa,R186.6,R186.6,mpst-7
F52D10.2,155,130.fa,F52D10.2,F52D10.2,F52D10.2
F35B12.2,339,1310.fa,F35B12.2,F35B12.2,dhs-20
B0513.1,357,1311.fa,B0513.1,B0513.1,lin-66
F49E2.2,474,1312.fa,F49E2.2,F49E2.2,F49E2.2
ZK1128.7,118,1313.fa,ZK1128.7,ZK1128.7,ZK1128.7
Y48G8AL.8,169,1314.fa,Y48G8AL.8,Y48G8AL.8,rpl-17
Y22D7AL.10,108,1315.fa,Y22D7AL.10,Y22D7AL.10,Y22D7AL.10
F26F4.5,325,1316.fa,F26F4.5,F26F4.5,F26F4.5
K04C2.7,178,1317.fa,K04C2.7,K04C2.7,K04C2.7
C09H10.2,105,1318.fa,C09H10.2,C09H10.2,rpl-36.A
ZK1053.2,329,1319.fa,ZK1053.2,ZK1053.2,ZK1053.2
H19N07.2,382,131.fa,H19N07.2,H19N07.2,math-33
C34B4.3,120,1320.fa,C34B4.3,C34B4.3,C34B4.3
K03H6.5,319,1321.fa,K03H6.5,K03H6.5,K03H6.5
F25G6.6,510,1322.fa,F25G6.6,F25G6.6,asns-1
F09F7.2,152,1323.fa,F09F7.2,F09F7.2,mlc-3
C14A4.12,513,1324.fa,C14A4.12,C14A4.12,C14A4.12
C25A1.13,189,1325.fa,C25A1.13,C25A1.13,mrpl-34
T01G9.4,535,1326.fa,T01G9.4,T01G9.4,npp-2
W09H1.1,203,1327.fa,W09H1.1,W09H1.1,W09H1.1
C38H2.1,657,1328.fa,C38H2.1,C38H2.1,tbc-8
T06D10.1,160,1329.fa,T06D10.1,T06D10.1,rsbp-1
K02A2.3,973,132.fa,K02A2.3,K02A2.3,kcc-3
Y119D3B.17,173,1330.fa,Y119D3B.17,Y119D3B.17,pes-4
C10G8.5,889,1331.fa,C10G8.5,C10G8.5,ncx-2
F26F4.10,661,1332.fa,F26F4.10,F26F4.10,rars-1
F52G3.5,149,1333.fa,F52G3.5,F52G3.5,F52G3.5
K05C4.6,519,1334.fa,K05C4.6,K05C4.6,hmp-2
Y22D7AL.8,325,1335.fa,Y22D7AL.8,Y22D7AL.8,sms-3
C16H3.3,536,1336.fa,C16H3.3,C16H3.3,C16H3.3
C07A4.2,374,1337.fa,C07A4.2,C07A4.2,C07A4.2
T25B6.5,119,1338.fa,T25B6.5,T25B6.5,T25B6.5
R09B5.6,296,1339.fa,R09B5.6,R09B5.6,hacd-1
C05D11.12,534,133.fa,C05D11.12,C05D11.12,let-721
Y45F10D.3,394,1340.fa,Y45F10D.3,Y45F10D.3,gly-10
F49E12.10,180,1341.fa,F49E12.10,F49E12.10,F49E12.10
K01G5.6,273,1342.fa,K01G5.6,K01G5.6,rib-2
C05E7.2,256,1343.fa,C05E7.2,C05E7.2,gmap-3
ZK637.5,332,1344.fa,ZK637.5,ZK637.5,asna-1
F32B6.3,232,1345.fa,F32B6.3,F32B6.3,prp-18
K02D3.2,236,1346.fa,K02D3.2,K02D3.2,K02D3.2
F43H9.2,505,1347.fa,F43H9.2,F43H9.2,sptl-2
Y32H12A.2,491,1348.fa,Y32H12A.2,Y32H12A.2,thoc-5
