file,brenneri,briggsae,doughertyi,elegans,inopinata,latens,nigoni,remanei,sinica,sp26,sp40,tropicalis,wallacei,kamaaina
743.fa,1,1,0,5,31,1,0,1,5,2,8,3,2,4
297.fa,1,0,6,1,31,1,0,1,1,2,0,3,1,17
1920.fa,0,5,6,6,31,0,0,3,3,0,2,5,1,19
2595.fa,4,3,6,12,31,0,1,12,4,1,4,4,2,14
971.fa,2,5,2,5,31,0,0,0,11,1,1,5,3,34
1393.fa,2,1,0,4,31,1,0,0,0,0,0,55,0,10
157.fa,4,3,3,9,31,2,0,1,1,16,12,20,4,16
2769.fa,10,4,8,8,31,1,1,3,19,4,3,1,6,25
229.fa,22,8,6,15,31,6,4,0,4,1,5,7,6,23
918.fa,7,6,7,12,31,5,0,12,14,9,10,8,13,37
301.fa,24,9,9,17,31,4,6,3,6,5,9,18,7,61
87.fa,12,33,23,27,31,1,1,3,16,11,13,12,8,28
450.fa,2,1,0,4,30,2,0,1,0,0,1,0,0,8
2289.fa,1,1,2,5,30,2,0,0,0,0,0,2,2,9
1268.fa,0,0,0,2,30,0,0,1,1,1,0,11,4,5
279.fa,2,0,0,7,30,1,0,1,1,0,2,3,1,11
2584.fa,3,1,3,3,30,0,0,1,3,1,3,8,4,1
1019.fa,2,1,3,4,30,1,0,0,2,0,7,5,0,8
1363.fa,0,3,2,7,30,0,0,0,1,3,2,2,4,17
88.fa,2,4,6,7,30,0,3,1,1,3,1,4,2,13
308.fa,4,1,5,9,30,0,0,1,4,1,6,2,5,18
987.fa,3,1,4,6,30,1,1,1,1,3,2,3,0,36
1440.fa,10,1,14,27,30,2,0,0,2,3,4,3,2,19
543.fa,1,0,1,4,29,0,0,1,0,0,0,0,1,2
1700.fa,2,0,3,13,29,0,1,0,2,0,3,2,3,12
2754.fa,3,0,3,15,29,1,3,0,2,5,1,2,0,14
1507.fa,2,2,9,6,29,2,0,1,4,1,5,11,1,19
1121.fa,5,2,6,9,29,2,2,0,2,4,7,6,4,16
1688.fa,6,1,10,12,29,2,4,0,8,4,8,15,4,17
1508.fa,29,4,11,12,29,0,0,2,10,5,5,8,4,16
1064.fa,3,1,6,27,29,0,1,4,7,8,1,5,10,44
1488.fa,5,2,43,30,29,0,1,3,21,43,22,4,7,14
2610.fa,2,0,1,4,28,3,0,0,0,0,1,10,2,4
472.fa,0,1,3,9,28,0,0,1,0,1,3,4,2,9
2428.fa,2,1,6,6,28,0,0,2,2,2,3,2,1,18
1858.fa,5,3,5,13,28,0,1,1,3,1,6,3,2,5
1863.fa,5,0,7,11,28,0,8,0,4,0,1,3,1,18
1332.fa,10,2,9,20,28,4,0,0,1,3,2,7,0,7
687.fa,8,2,11,7,28,2,1,0,1,0,3,13,1,27
380.fa,7,1,7,26,28,0,0,1,9,4,8,9,10,24
272.fa,17,4,8,30,28,1,0,20,6,3,11,11,7,39
2397.fa,1,1,2,5,27,0,0,1,0,0,3,2,2,5
1934.fa,2,2,1,12,27,0,1,1,0,0,1,2,1,10
2386.fa,3,1,2,4,27,0,0,0,1,4,3,2,3,10
1119.fa,1,1,2,9,27,1,0,0,7,2,3,3,4,5
2645.fa,4,0,2,9,27,1,0,0,6,2,7,5,1,7
1773.fa,5,0,0,14,27,0,0,2,1,2,2,7,3,9
1643.fa,6,2,1,5,27,0,12,1,4,1,2,3,3,7
1402.fa,8,1,3,5,27,0,0,2,10,3,3,1,3,9
1553.fa,5,2,1,11,27,0,0,1,1,3,4,3,2,16
2156.fa,5,3,5,13,27,2,0,0,4,9,1,1,3,8
1807.fa,3,5,3,9,27,1,7,0,9,3,2,6,0,13
1961.fa,8,1,6,4,27,0,1,2,11,2,4,15,0,19
277.fa,1,2,3,34,27,2,4,0,1,1,8,2,0,23
2066.fa,8,1,20,15,27,3,0,2,5,6,3,14,3,24
2448.fa,5,0,1,4,26,0,0,0,1,0,6,1,1,7
970.fa,1,0,1,4,26,3,0,0,1,0,0,1,21,0
1233.fa,3,7,3,5,26,1,1,0,8,1,2,1,2,10
1594.fa,9,3,3,14,26,0,0,0,4,2,2,3,1,13
2437.fa,5,2,8,8,26,1,1,0,4,8,8,4,3,3
1439.fa,5,0,5,8,26,1,1,0,0,4,5,0,1,26
2350.fa,4,0,2,14,26,1,1,3,4,1,2,1,2,28
2359.fa,2,3,7,9,26,0,0,2,5,7,6,1,4,18
1075.fa,8,1,4,22,26,3,1,0,3,0,2,5,0,16
1433.fa,5,3,3,16,26,0,0,1,0,0,2,13,1,22
208.fa,3,1,7,12,26,1,0,2,3,3,1,9,4,22
1822.fa,4,4,4,16,26,16,1,0,3,0,2,2,1,18
637.fa,3,3,1,24,26,1,1,1,1,2,1,4,4,28
2596.fa,7,3,2,7,26,1,1,15,23,2,2,4,3,7
546.fa,7,5,6,17,26,0,1,0,2,2,4,5,4,26
2361.fa,1,3,1,9,25,0,0,0,0,1,0,2,1,8
2184.fa,3,3,2,7,25,0,0,0,1,0,3,3,2,9
820.fa,3,0,4,9,25,1,0,0,1,0,1,1,4,9
585.fa,1,1,1,5,25,7,1,0,2,0,3,0,1,16
2161.fa,3,1,0,7,25,0,0,0,0,1,5,4,14,6
2324.fa,1,1,8,7,25,3,0,0,6,4,0,1,2,9
1061.fa,6,1,2,16,25,0,0,1,0,1,10,5,0,3
378.fa,1,6,3,5,25,3,9,0,0,1,3,10,0,9
2524.fa,6,5,13,7,25,0,0,0,1,3,5,7,4,12
193.fa,13,2,14,9,25,0,0,0,0,0,3,4,1,20
474.fa,13,0,5,12,25,1,0,0,0,3,1,7,3,23
604.fa,4,3,1,27,25,0,4,1,8,7,5,3,1,16
1276.fa,26,4,41,5,25,2,2,2,13,3,6,7,7,21
402.fa,1,1,0,2,24,0,0,1,0,0,2,0,1,2
2458.fa,7,2,2,1,24,0,0,0,3,0,2,1,0,1
1748.fa,2,0,1,3,24,0,0,1,0,1,1,3,1,10
1421.fa,1,1,4,2,24,0,0,0,2,1,4,2,3,5
965.fa,3,0,3,5,24,0,2,1,1,1,0,3,0,10
1359.fa,0,0,4,7,24,1,1,0,2,3,0,1,0,11
2656.fa,3,0,2,10,24,0,1,1,1,1,2,0,1,8
2616.fa,1,1,4,8,24,0,0,2,1,3,2,1,2,14
73.fa,3,2,2,6,24,0,0,1,1,2,1,2,2,17
781.fa,4,3,3,7,24,0,0,0,1,1,2,0,3,17
2487.fa,4,5,3,1,24,1,2,2,0,13,1,3,1,7
934.fa,11,0,2,3,24,0,2,0,2,1,2,5,0,16
2579.fa,15,3,2,8,24,0,0,1,1,1,1,10,0,4
2540.fa,6,1,5,5,24,2,1,2,1,2,2,8,2,10
1157.fa,4,1,3,11,24,2,1,1,1,2,1,9,5,11
2068.fa,4,0,8,8,24,1,0,0,5,4,2,6,2,15
1892.fa,7,1,0,18,24,1,0,1,3,1,16,3,4,21
1721.fa,6,0,4,18,24,0,5,1,4,2,4,5,3,25
854.fa,24,4,3,11,24,1,2,2,3,2,7,3,6,20
2295.fa,6,1,10,21,24,1,2,3,1,5,14,4,5,20
332.fa,26,0,18,12,24,1,0,2,1,4,4,1,14,14
1636.fa,18,3,11,7,24,1,0,1,15,3,4,7,1,27
1841.fa,11,1,18,105,24,1,0,1,6,6,20,8,6,24
928.fa,4,2,1,1,23,0,0,0,0,1,0,0,0,4
2096.fa,4,1,0,2,23,1,0,0,5,3,1,0,0,2
873.fa,0,1,0,4,23,0,1,1,1,1,1,3,1,6
89.fa,1,0,3,3,23,0,0,1,2,1,1,1,2,7
455.fa,8,5,1,1,23,0,1,0,1,1,0,3,1,3
2431.fa,6,0,1,6,23,2,2,0,0,0,0,1,3,5
2443.fa,2,0,1,10,23,0,0,0,2,0,1,0,0,12
1524.fa,2,1,8,9,23,0,1,0,0,1,1,1,0,6
2360.fa,1,0,4,7,23,0,1,0,1,2,2,4,2,13
2557.fa,5,3,3,6,23,1,4,1,1,0,2,2,2,11
1052.fa,3,2,2,8,23,0,4,1,2,1,7,3,2,7
421.fa,18,2,0,2,23,3,1,1,1,0,0,3,4,12
1401.fa,17,0,10,6,23,0,1,1,2,1,5,26,6,4
1504.fa,15,0,8,8,23,0,0,0,4,5,2,3,2,39
335.fa,0,6,2,14,23,1,0,3,3,4,9,18,5,25
2429.fa,11,2,28,14,23,1,2,0,4,7,19,4,13,47
127.fa,17,0,33,23,23,2,1,0,9,7,16,8,5,60
2145.fa,2,1,3,0,22,0,0,0,0,2,2,2,2,4
1565.fa,0,1,3,3,22,0,0,1,0,1,3,2,4,1
2674.fa,2,2,0,4,22,0,0,0,0,3,0,1,2,7
933.fa,1,0,2,4,22,0,0,0,0,3,1,3,1,7
2296.fa,1,0,1,6,22,0,2,0,3,0,1,1,3,8
973.fa,2,0,3,10,22,0,0,0,0,0,2,2,2,5
1060.fa,1,0,2,4,22,0,0,1,0,2,1,2,5,11
1638.fa,1,1,3,6,22,0,1,0,0,0,1,2,7,13
1370.fa,11,0,0,4,22,0,0,0,1,1,1,0,3,16
337.fa,4,0,4,7,22,0,0,1,2,4,2,4,3,10
1387.fa,4,0,2,5,22,0,1,0,2,6,3,5,1,14
2139.fa,1,0,4,11,22,0,1,0,14,3,3,2,3,4
2255.fa,2,0,2,14,22,1,0,1,1,4,1,10,3,7
770.fa,2,2,7,12,22,2,0,0,5,1,1,4,3,11
1420.fa,8,1,3,7,22,1,1,2,5,3,6,8,2,7
1814.fa,13,1,5,4,22,1,1,0,11,1,8,7,3,7
1608.fa,6,1,5,7,22,1,0,0,2,3,5,5,7,22
1288.fa,16,2,10,9,22,0,1,0,0,3,2,2,4,16
2480.fa,2,1,3,8,22,2,1,28,5,1,1,4,3,15
463.fa,1,0,0,1,21,0,0,1,0,4,1,0,0,6
668.fa,2,0,2,6,21,0,0,1,1,2,0,1,0,8
768.fa,2,1,0,1,21,0,1,1,1,1,1,2,1,11
2217.fa,1,0,3,6,21,0,0,0,4,0,0,2,1,10
1966.fa,0,0,0,6,21,5,0,5,2,3,1,3,1,5
2618.fa,6,0,1,10,21,0,0,0,0,0,2,4,0,10
454.fa,2,3,2,9,21,0,1,1,9,1,1,3,0,2
2257.fa,0,0,4,10,21,1,0,0,1,1,2,2,1,13
901.fa,7,0,2,9,21,1,2,0,1,1,3,1,0,9
870.fa,3,0,9,17,21,1,0,0,0,0,1,2,1,8
1422.fa,1,0,3,4,21,1,0,1,9,0,2,0,17,6
818.fa,1,1,0,8,21,0,0,1,5,0,4,15,1,8
1677.fa,3,0,3,17,21,3,1,1,2,0,1,2,4,8
2586.fa,0,3,2,10,21,2,3,1,1,1,4,3,4,18
2672.fa,7,3,2,5,21,0,0,0,3,4,4,10,7,9
561.fa,4,2,6,9,21,0,1,1,3,2,3,4,7,15
1416.fa,1,1,0,7,21,0,1,2,14,0,1,1,26,7
1997.fa,3,3,4,10,21,0,2,1,4,4,3,6,2,19
1628.fa,6,1,2,13,21,0,5,1,2,0,4,7,1,24
211.fa,12,2,8,7,21,4,0,0,3,3,6,12,2,11
1723.fa,15,2,4,2,21,0,0,0,2,2,0,6,3,50
413.fa,9,2,15,11,21,0,0,0,3,5,4,11,3,28
2508.fa,4,3,7,8,21,2,1,1,2,3,6,6,6,46
2621.fa,3,27,10,12,21,0,0,1,0,3,2,11,3,36
557.fa,0,0,2,1,20,1,0,0,1,1,1,2,0,1
2752.fa,2,2,0,4,20,6,2,0,2,0,0,0,0,1
1221.fa,2,1,3,7,20,1,2,0,0,1,0,1,0,4
2650.fa,1,2,3,7,20,1,1,0,0,0,1,3,1,6
525.fa,1,1,0,4,20,7,0,0,0,1,1,0,1,12
2483.fa,1,0,2,0,20,1,0,2,4,0,0,2,2,15
1181.fa,1,0,7,5,20,0,0,0,1,0,0,2,0,14
787.fa,2,2,1,9,20,0,0,1,1,4,2,3,3,4
1683.fa,3,1,3,11,20,0,0,1,1,2,1,1,2,10
2346.fa,0,1,5,3,20,0,0,1,6,0,3,14,1,3
862.fa,5,3,1,6,20,2,0,1,0,1,2,4,3,10
801.fa,6,1,3,5,20,1,0,0,4,2,1,5,0,19
806.fa,2,3,1,11,20,0,1,2,1,1,2,1,2,20
1265.fa,9,1,12,9,20,0,1,0,3,2,1,3,1,8
2354.fa,1,0,0,2,20,26,0,1,1,2,5,1,1,11
2623.fa,9,2,2,6,20,2,3,3,2,4,7,3,2,7
1011.fa,7,4,3,12,20,4,1,0,1,1,1,2,1,19
1611.fa,8,1,5,9,20,1,1,0,4,4,3,2,5,15
937.fa,4,2,1,11,20,1,0,3,7,10,8,3,2,10
2475.fa,13,4,7,7,20,0,1,3,2,2,6,4,1,18
2632.fa,7,1,6,9,20,1,2,1,7,2,2,11,3,34
1329.fa,0,0,0,0,19,1,1,0,0,0,1,0,0,6
2198.fa,2,0,1,1,19,0,0,0,1,1,0,0,0,6
1968.fa,0,0,0,2,19,0,0,1,0,3,0,0,5,5
1681.fa,2,0,0,6,19,2,0,0,0,2,1,1,2,2
872.fa,0,1,6,2,19,0,0,0,0,3,3,0,2,1
574.fa,1,0,1,6,19,0,1,0,1,2,3,1,0,3
1074.fa,2,0,2,1,19,1,1,1,0,0,1,4,3,4
1918.fa,1,3,2,2,19,0,1,0,0,0,1,3,1,8
1962.fa,4,1,6,1,19,0,0,0,1,1,4,2,0,3
1664.fa,3,1,3,3,19,0,0,1,0,0,2,4,1,8
2132.fa,0,0,2,8,19,2,0,0,4,3,0,1,2,6
1350.fa,3,0,4,0,19,1,0,1,0,0,1,3,2,15
2003.fa,0,0,2,5,19,0,0,0,1,10,0,2,3,9
1337.fa,3,0,3,4,19,5,0,13,0,0,1,1,1,6
66.fa,2,1,1,11,19,0,0,0,5,3,2,9,2,6
1534.fa,2,0,10,7,19,1,0,0,1,0,3,1,4,14
2280.fa,7,12,4,5,19,0,1,0,1,2,1,2,2,7
1954.fa,1,3,0,7,19,0,0,2,0,1,3,6,3,20
998.fa,8,0,7,4,19,0,0,0,4,3,2,1,4,14
1357.fa,2,3,4,5,19,0,1,0,0,1,8,3,0,22
2577.fa,11,0,3,10,19,2,0,2,7,2,2,0,2,8
1794.fa,14,0,11,9,19,2,0,0,0,0,1,5,2,8
2077.fa,1,1,1,5,19,0,0,9,1,1,2,2,2,27
2395.fa,5,2,8,8,19,0,0,1,1,2,4,5,4,13
259.fa,2,0,1,6,19,1,14,0,0,4,1,2,2,24
2728.fa,5,3,1,6,19,0,0,0,0,2,14,14,0,13
85.fa,12,1,4,15,19,0,3,0,1,7,7,3,1,5
1445.fa,3,0,10,12,19,1,0,1,1,3,1,0,2,26
2491.fa,3,1,9,14,19,1,1,0,1,6,0,7,8,11
2439.fa,14,1,6,5,19,1,0,3,3,3,4,2,3,24
2447.fa,2,2,2,12,19,1,0,0,3,3,6,0,8,31
1870.fa,10,0,32,12,19,1,0,1,1,6,6,3,3,43
2114.fa,1,0,0,3,18,0,0,0,1,0,0,0,0,3
1910.fa,2,1,1,2,18,0,0,1,0,0,1,2,1,1
1347.fa,1,1,0,4,18,0,0,0,3,1,0,0,1,3
2733.fa,0,0,1,11,18,0,0,1,0,1,1,0,0,0
1140.fa,1,1,2,2,18,0,0,0,3,1,2,0,0,5
2485.fa,0,0,3,3,18,1,0,0,1,0,1,1,3,7
75.fa,1,0,1,8,18,0,1,0,2,0,2,0,0,5
1215.fa,1,0,3,4,18,3,1,0,0,0,3,2,1,3
2127.fa,3,0,7,3,18,0,0,0,0,1,0,0,2,6
741.fa,0,1,4,2,18,0,1,1,3,0,1,0,0,9
2051.fa,5,1,0,3,18,0,0,1,3,1,2,1,0,8
2626.fa,0,2,2,10,18,0,0,0,0,1,0,1,0,9
943.fa,1,0,1,10,18,0,1,1,1,0,2,3,0,5
1985.fa,0,0,2,7,18,0,0,0,0,0,3,3,0,11
1225.fa,2,0,2,11,18,1,0,0,0,2,1,2,1,6
1702.fa,4,0,7,7,18,1,0,1,0,0,0,1,2,6
2589.fa,2,1,2,8,18,0,2,2,0,3,1,1,2,5
945.fa,7,0,3,4,18,0,0,0,0,1,5,1,0,9
2554.fa,1,2,1,8,18,0,3,1,1,0,0,0,10,9
1095.fa,3,2,7,4,18,1,0,2,2,0,0,2,1,13
1432.fa,0,0,2,12,18,0,0,0,1,1,0,5,1,15
96.fa,5,0,3,9,18,0,0,0,1,0,0,1,8,12
393.fa,18,0,4,4,18,0,0,0,0,0,1,0,2,11
178.fa,2,2,3,7,18,2,0,0,2,6,3,4,0,12
1521.fa,3,3,4,7,18,0,0,1,0,1,5,4,3,14
2442.fa,2,4,2,3,18,4,0,0,11,2,1,5,0,11
2593.fa,14,0,1,3,18,0,0,0,0,0,0,21,1,5
742.fa,10,1,4,11,18,1,0,0,1,5,2,3,3,9
1815.fa,2,2,4,7,18,1,0,1,2,0,4,3,3,23
2228.fa,3,0,3,6,18,0,0,0,2,1,5,2,1,34
1429.fa,0,0,3,7,18,1,0,3,2,1,3,4,1,35
2382.fa,3,1,4,10,18,0,2,1,3,2,8,0,2,29
1152.fa,13,0,2,5,18,0,0,0,1,4,1,14,6,24
2133.fa,6,2,14,14,18,2,1,1,2,1,18,2,3,4
1082.fa,6,5,29,12,18,0,0,1,2,1,6,27,8,21
435.fa,64,2,6,8,18,1,8,1,3,3,2,9,11,11
974.fa,0,0,0,1,17,0,0,0,0,0,0,0,0,2
2179.fa,1,0,0,3,17,1,0,0,0,1,0,1,0,2
2606.fa,0,0,0,1,17,0,0,0,6,1,0,2,0,3
174.fa,1,0,1,7,17,0,0,0,0,1,0,2,1,1
836.fa,1,3,1,1,17,0,0,0,1,1,0,1,1,4
1048.fa,0,1,0,5,17,0,0,2,1,1,1,1,1,8
2151.fa,1,0,1,3,17,1,1,2,9,0,1,0,1,2
49.fa,0,2,3,6,17,0,0,0,5,0,1,3,0,3
1693.fa,4,0,1,6,17,0,0,0,2,1,1,7,1,3
365.fa,0,1,2,7,17,2,0,0,1,3,2,4,0,5
2763.fa,3,0,1,7,17,0,1,0,1,3,4,3,1,5
1970.fa,6,1,3,8,17,1,0,0,0,2,2,3,3,5
342.fa,2,1,0,2,17,0,3,0,0,19,0,1,0,6
444.fa,4,0,1,9,17,2,1,1,1,1,1,4,4,5
1162.fa,3,3,0,6,17,1,0,2,0,0,3,3,0,15
2583.fa,1,2,0,11,17,2,1,2,1,1,3,2,1,9
1097.fa,4,2,1,3,17,1,0,0,3,5,3,3,0,12
2111.fa,5,0,4,7,17,0,3,0,2,5,5,5,0,1
399.fa,7,1,0,4,17,0,2,0,1,4,1,6,1,10
912.fa,5,0,0,6,17,1,2,3,3,2,5,4,2,4
2106.fa,7,3,1,5,17,0,0,0,1,0,7,0,8,7
2705.fa,3,1,0,8,17,5,0,0,1,1,4,1,2,15
2182.fa,4,0,5,12,17,0,0,0,0,1,2,2,0,16
1437.fa,4,0,1,14,17,1,1,8,1,2,0,3,2,7
2103.fa,5,0,2,11,17,0,0,0,5,2,4,3,0,14
580.fa,5,1,4,6,17,0,1,0,1,0,3,2,2,22
2704.fa,8,0,11,12,17,0,0,2,1,2,3,0,5,4
572.fa,8,1,1,3,17,0,1,0,9,3,5,2,4,11
1298.fa,3,1,6,5,17,2,0,3,4,2,6,0,4,13
440.fa,6,2,3,11,17,2,1,2,5,2,1,3,0,12
2558.fa,13,1,1,18,17,0,0,0,0,4,3,1,3,10
2726.fa,23,1,0,4,17,0,0,0,1,4,1,7,2,12
2093.fa,13,3,4,4,17,1,0,1,2,0,4,5,4,15
1237.fa,9,2,2,3,17,2,1,0,15,0,4,7,3,10
566.fa,2,4,8,15,17,0,0,0,5,2,3,5,1,14
58.fa,1,0,2,6,17,0,1,0,1,0,1,1,22,24
790.fa,1,1,2,17,17,0,1,2,0,0,19,1,1,14
1205.fa,5,0,15,11,17,0,0,0,9,0,2,1,2,17
859.fa,7,1,4,11,17,1,1,4,2,5,3,5,2,20
1762.fa,13,1,4,22,17,0,0,0,1,1,0,5,2,20
2600.fa,2,2,8,4,17,1,2,3,1,3,4,3,4,34
1369.fa,14,6,4,7,17,2,2,1,3,2,8,7,4,31
1709.fa,37,2,23,6,17,2,4,1,1,7,3,3,3,4
336.fa,20,3,12,38,17,1,4,2,8,7,10,23,8,12
121.fa,0,0,0,0,16,0,0,0,0,0,0,0,0,1
490.fa,1,1,1,0,16,0,0,0,0,0,1,0,1,5
774.fa,0,0,3,1,16,0,0,0,3,0,0,1,0,4
1928.fa,1,1,0,5,16,0,0,0,0,0,1,0,1,5
1949.fa,2,0,0,2,16,0,6,0,0,0,1,0,0,5
1047.fa,0,1,1,2,16,0,3,1,1,1,0,1,0,6
215.fa,4,0,2,0,16,3,0,0,0,1,0,1,2,4
2655.fa,2,0,1,10,16,0,0,1,0,0,1,0,0,2
316.fa,3,1,1,3,16,1,0,0,4,0,1,0,1,2
202.fa,0,0,0,10,16,0,0,0,2,1,1,0,0,4
903.fa,1,0,1,9,16,0,0,0,1,2,0,1,1,2
292.fa,1,0,2,3,16,0,0,0,0,0,1,1,4,7
381.fa,0,0,0,10,16,0,0,1,0,0,0,0,2,6
1894.fa,0,0,2,5,16,2,0,1,3,0,2,2,2,2
1973.fa,1,1,2,1,16,0,0,0,3,1,3,5,0,5
1684.fa,1,1,2,9,16,0,0,0,0,0,2,1,2,5
2420.fa,2,0,2,3,16,8,3,0,0,0,1,1,3,0
1123.fa,1,1,14,2,16,0,0,1,1,1,1,1,0,2
1535.fa,2,0,3,1,16,11,0,0,0,0,1,0,2,5
1818.fa,1,2,2,6,16,0,0,1,1,4,3,3,0,3
261.fa,0,1,4,6,16,0,1,1,1,1,2,1,3,5
856.fa,3,1,2,5,16,1,0,1,1,0,1,2,3,6
2309.fa,2,3,1,3,16,0,3,0,2,2,4,2,1,5
2478.fa,5,1,3,11,16,1,1,0,1,0,2,1,0,2
