file	brenneri	briggsae	doughertyi	elegans	inopinata	latens	nigoni	remanei	sinica	sp26	sp40	tropicalis	wallacei	kamaaina	elegans_gene_id	prot_length	elegans_gene_id.1	Your.Input	Public.Name	brenneri_fra	briggsae_fra	doughertyi_fra	elegans_fra	inopinata_fra	latens_fra	nigoni_fra	remanei_fra	sinica_fra	sp26_fra	sp40_fra	tropicalis_fra	wallacei_fra	kamaaina_fra	mean_spsp_aa	brenneri_spsp_over_mean	briggsae_spsp_over_mean	doughertyi_spsp_over_mean	elegans_spsp_over_mean	inopinata_spsp_over_mean	latens_spsp_over_mean	nigoni_spsp_over_mean	remanei_spsp_over_mean	sinica_spsp_over_mean	sp26_spsp_over_mean	sp40_spsp_over_mean	tropicalis_spsp_over_mean	wallacei_spsp_over_mean	kamaaina_spsp_over_mean	high_inop_spsp
1017.fa	1	0	3	1	10	0	0	0	3	1	0	3	3	2	W08E3.3	394	W08E3.3	W08E3.3	ola-1	0.00253807106598985	0	0.00761421319796954	0.00253807106598985	0.0253807106598985	0	0	0	0.00761421319796954	0.00253807106598985	0	0.00761421319796954	0.00761421319796954	0.0050761421319797	1.92857142857143	0.518518518518518	0	1.55555555555556	0.518518518518518	5.18518518518519	0	0	0	1.55555555555556	0.518518518518518	0	1.55555555555556	1.55555555555556	1.03703703703704	FALSE
1018.fa	2	0	3	2	1	0	4	0	0	0	0	0	0	0	F37H8.3	116	F37H8.3	F37H8.3	bigr-1	0.0172413793103448	0	0.0258620689655172	0.0172413793103448	0.00862068965517241	0	0.0344827586206897	0	0	0	0	0	0	0	0.857142857142857	2.33333333333333	0	3.5	2.33333333333333	1.16666666666667	0	4.66666666666667	0	0	0	0	0	0	0	FALSE
1019.fa	2	1	3	4	30	1	0	0	2	0	7	5	0	8	T14G11.3	671	T14G11.3	T14G11.3	immt-1	0.0029806259314456	0.0014903129657228	0.00447093889716841	0.00596125186289121	0.0447093889716841	0.0014903129657228	0	0	0.0029806259314456	0	0.0104321907600596	0.00745156482861401	0	0.0119225037257824	4.5	0.444444444444444	0.222222222222222	0.666666666666667	0.888888888888889	6.66666666666667	0.222222222222222	0	0	0.444444444444444	0	1.55555555555556	1.11111111111111	0	1.77777777777778	FALSE
102.fa	0	0	1	1	7	0	1	0	0	0	0	1	1	6	Y4C6B.6	201	Y4C6B.6	Y4C6B.6	gba-4	0	0	0.00497512437810945	0.00497512437810945	0.0348258706467662	0	0.00497512437810945	0	0	0	0	0.00497512437810945	0.00497512437810945	0.0298507462686567	1.28571428571429	0	0	0.777777777777778	0.777777777777778	5.44444444444444	0	0.777777777777778	0	0	0	0	0.777777777777778	0.777777777777778	4.66666666666667	FALSE
1020.fa	0	1	1	1	3	1	0	0	0	0	0	1	0	2	ZK856.7	121	ZK856.7	ZK856.7	ZK856.7	0	0.00826446280991736	0.00826446280991736	0.00826446280991736	0.0247933884297521	0.00826446280991736	0	0	0	0	0	0.00826446280991736	0	0.0165289256198347	0.714285714285714	0	1.4	1.4	1.4	4.2	1.4	0	0	0	0	0	1.4	0	2.8	FALSE
1021.fa	1	1	1	2	3	0	0	1	0	0	2	0	1	2	C30A5.3	220	C30A5.3	C30A5.3	mob-4	0.00454545454545455	0.00454545454545455	0.00454545454545455	0.00909090909090909	0.0136363636363636	0	0	0.00454545454545455	0	0	0.00909090909090909	0	0.00454545454545455	0.00909090909090909	1	1	1	1	2	3	0	0	1	0	0	2	0	1	2	FALSE
1022.fa	22	0	10	3	3	0	0	0	6	0	1	7	6	5	K10B4.3	355	K10B4.3	K10B4.3	K10B4.3	0.0619718309859155	0	0.028169014084507	0.00845070422535211	0.00845070422535211	0	0	0	0.0169014084507042	0	0.0028169014084507	0.0197183098591549	0.0169014084507042	0.0140845070422535	4.5	4.88888888888889	0	2.22222222222222	0.666666666666667	0.666666666666667	0	0	0	1.33333333333333	0	0.222222222222222	1.55555555555556	1.33333333333333	1.11111111111111	FALSE
1023.fa	3	0	0	3	10	0	0	0	3	0	0	2	0	2	C02D4.2	418	C02D4.2	C02D4.2	ser-2	0.00717703349282297	0	0	0.00717703349282297	0.0239234449760766	0	0	0	0.00717703349282297	0	0	0.00478468899521531	0	0.00478468899521531	1.64285714285714	1.82608695652174	0	0	1.82608695652174	6.08695652173913	0	0	0	1.82608695652174	0	0	1.21739130434783	0	1.21739130434783	FALSE
1024.fa	0	0	0	0	4	0	0	0	0	1	0	3	0	1	T12A2.15	165	T12A2.15	T12A2.15	esyt-2	0	0	0	0	0.0242424242424242	0	0	0	0	0.00606060606060606	0	0.0181818181818182	0	0.00606060606060606	0.642857142857143	0	0	0	0	6.22222222222222	0	0	0	0	1.55555555555556	0	4.66666666666667	0	1.55555555555556	FALSE
1025.fa	1	2	0	1	11	0	20	0	0	0	0	0	0	5	C39B10.2	335	C39B10.2	C39B10.2	lgc-41	0.00298507462686567	0.00597014925373134	0	0.00298507462686567	0.0328358208955224	0	0.0597014925373134	0	0	0	0	0	0	0.0149253731343284	2.85714285714286	0.35	0.7	0	0.35	3.85	0	7	0	0	0	0	0	0	1.75	FALSE
1026.fa	2	1	6	3	14	0	0	2	0	0	1	4	0	8	T09A5.2	572	T09A5.2	T09A5.2	klp-3	0.0034965034965035	0.00174825174825175	0.0104895104895105	0.00524475524475524	0.0244755244755245	0	0	0.0034965034965035	0	0	0.00174825174825175	0.00699300699300699	0	0.013986013986014	2.92857142857143	0.682926829268293	0.341463414634146	2.04878048780488	1.02439024390244	4.78048780487805	0	0	0.682926829268293	0	0	0.341463414634146	1.36585365853659	0	2.73170731707317	FALSE
1027.fa	1	0	0	5	16	0	0	8	2	1	1	3	1	7	C08F8.4	338	C08F8.4	C08F8.4	mboa-4	0.0029585798816568	0	0	0.014792899408284	0.0473372781065089	0	0	0.0236686390532544	0.00591715976331361	0.0029585798816568	0.0029585798816568	0.00887573964497041	0.0029585798816568	0.0207100591715976	3.21428571428571	0.311111111111111	0	0	1.55555555555556	4.97777777777778	0	0	2.48888888888889	0.622222222222222	0.311111111111111	0.311111111111111	0.933333333333333	0.311111111111111	2.17777777777778	FALSE
1028.fa	0	0	1	0	2	1	0	0	0	1	0	0	0	1	C46F4.1	319	C46F4.1	C46F4.1	egl-6	0	0	0.00313479623824451	0	0.00626959247648903	0.00313479623824451	0	0	0	0.00313479623824451	0	0	0	0.00313479623824451	0.428571428571429	0	0	2.33333333333333	0	4.66666666666667	2.33333333333333	0	0	0	2.33333333333333	0	0	0	2.33333333333333	FALSE
103.fa	2	0	3	6	9	0	0	4	1	1	1	0	0	1	K10C2.4	333	K10C2.4	K10C2.4	fah-1	0.00600600600600601	0	0.00900900900900901	0.018018018018018	0.027027027027027	0	0	0.012012012012012	0.003003003003003	0.003003003003003	0.003003003003003	0	0	0.003003003003003	2	1	0	1.5	3	4.5	0	0	2	0.5	0.5	0.5	0	0	0.5	FALSE
1030.fa	1	0	0	5	15	0	0	0	15	1	0	1	1	6	ZK470.5	318	ZK470.5	ZK470.5	nck-1	0.00314465408805031	0	0	0.0157232704402516	0.0471698113207547	0	0	0	0.0471698113207547	0.00314465408805031	0	0.00314465408805031	0.00314465408805031	0.0188679245283019	3.21428571428571	0.311111111111111	0	0	1.55555555555556	4.66666666666667	0	0	0	4.66666666666667	0.311111111111111	0	0.311111111111111	0.311111111111111	1.86666666666667	FALSE
1031.fa	0	15	0	1	5	1	0	0	1	0	2	0	0	0	F26A3.7	171	F26A3.7	F26A3.7	F26A3.7	0	0.087719298245614	0	0.00584795321637427	0.0292397660818713	0.00584795321637427	0	0	0.00584795321637427	0	0.0116959064327485	0	0	0	1.78571428571429	0	8.4	0	0.56	2.8	0.56	0	0	0.56	0	1.12	0	0	0	FALSE
1032.fa	3	2	5	3	3	1	2	0	0	1	4	2	1	6	K02F3.6	236	K02F3.6	K02F3.6	ceeh-1	0.0127118644067797	0.00847457627118644	0.0211864406779661	0.0127118644067797	0.0127118644067797	0.00423728813559322	0.00847457627118644	0	0	0.00423728813559322	0.0169491525423729	0.00847457627118644	0.00423728813559322	0.0254237288135593	2.35714285714286	1.27272727272727	0.848484848484849	2.12121212121212	1.27272727272727	1.27272727272727	0.424242424242424	0.848484848484849	0	0	0.424242424242424	1.6969696969697	0.848484848484849	0.424242424242424	2.54545454545455	FALSE
1033.fa	0	0	0	2	10	0	0	1	0	0	0	1	2	2	Y102A11A.5	132	Y102A11A.5	Y102A11A.5	Y102A11A.5	0	0	0	0.0151515151515152	0.0757575757575758	0	0	0.00757575757575758	0	0	0	0.00757575757575758	0.0151515151515152	0.0151515151515152	1.28571428571429	0	0	0	1.55555555555556	7.77777777777778	0	0	0.777777777777778	0	0	0	0.777777777777778	1.55555555555556	1.55555555555556	TRUE
1034.fa	2	1	3	3	8	0	0	2	2	4	6	1	6	11	F49D11.10	310	F49D11.10	F49D11.10	F49D11.10	0.00645161290322581	0.0032258064516129	0.00967741935483871	0.00967741935483871	0.0258064516129032	0	0	0.00645161290322581	0.00645161290322581	0.0129032258064516	0.0193548387096774	0.0032258064516129	0.0193548387096774	0.0354838709677419	3.5	0.571428571428571	0.285714285714286	0.857142857142857	0.857142857142857	2.28571428571429	0	0	0.571428571428571	0.571428571428571	1.14285714285714	1.71428571428571	0.285714285714286	1.71428571428571	3.14285714285714	FALSE
1035.fa	0	0	0	1	9	0	0	0	0	1	0	3	1	0	C10A4.2	71	C10A4.2	C10A4.2	C10A4.2	0	0	0	0.0140845070422535	0.126760563380282	0	0	0	0	0.0140845070422535	0	0.0422535211267606	0.0140845070422535	0	1.07142857142857	0	0	0	0.933333333333333	8.4	0	0	0	0	0.933333333333333	0	2.8	0.933333333333333	0	TRUE
1036.fa	1	0	0	0	1	0	0	3	0	0	0	1	0	44	ZC395.6	137	ZC395.6	ZC395.6	gro-1	0.0072992700729927	0	0	0	0.0072992700729927	0	0	0.0218978102189781	0	0	0	0.0072992700729927	0	0.321167883211679	3.57142857142857	0.28	0	0	0	0.28	0	0	0.84	0	0	0	0.28	0	12.32	FALSE
1037.fa	7	1	2	1	13	1	1	1	4	0	5	1	4	10	H40L08.1	384	H40L08.1	H40L08.1	H40L08.1	0.0182291666666667	0.00260416666666667	0.00520833333333333	0.00260416666666667	0.0338541666666667	0.00260416666666667	0.00260416666666667	0.00260416666666667	0.0104166666666667	0	0.0130208333333333	0.00260416666666667	0.0104166666666667	0.0260416666666667	3.64285714285714	1.92156862745098	0.274509803921569	0.549019607843137	0.274509803921569	3.56862745098039	0.274509803921569	0.274509803921569	0.274509803921569	1.09803921568627	0	1.37254901960784	0.274509803921569	1.09803921568627	2.74509803921569	FALSE
1038.fa	6	0	3	2	1	0	0	0	0	0	1	0	0	4	T26A5.8	123	T26A5.8	T26A5.8	T26A5.8	0.0487804878048781	0	0.024390243902439	0.016260162601626	0.00813008130081301	0	0	0	0	0	0.00813008130081301	0	0	0.032520325203252	1.21428571428571	4.94117647058824	0	2.47058823529412	1.64705882352941	0.823529411764706	0	0	0	0	0	0.823529411764706	0	0	3.29411764705882	FALSE
1039.fa	2	3	5	3	8	0	1	0	1	0	1	3	1	10	C01G10.9	316	C01G10.9	C01G10.9	C01G10.9	0.00632911392405063	0.00949367088607595	0.0158227848101266	0.00949367088607595	0.0253164556962025	0	0.00316455696202532	0	0.00316455696202532	0	0.00316455696202532	0.00949367088607595	0.00316455696202532	0.0316455696202532	2.71428571428571	0.736842105263158	1.10526315789474	1.84210526315789	1.10526315789474	2.94736842105263	0	0.368421052631579	0	0.368421052631579	0	0.368421052631579	1.10526315789474	0.368421052631579	3.68421052631579	FALSE
104.fa	3	0	4	2	2	0	0	0	0	1	2	0	0	5	JC8.7	283	JC8.7	JC8.7	JC8.7	0.0106007067137809	0	0.0141342756183746	0.00706713780918728	0.00706713780918728	0	0	0	0	0.00353356890459364	0.00706713780918728	0	0	0.0176678445229682	1.35714285714286	2.21052631578947	0	2.94736842105263	1.47368421052632	1.47368421052632	0	0	0	0	0.736842105263158	1.47368421052632	0	0	3.68421052631579	FALSE
1040.fa	3	0	4	3	4	0	0	0	2	0	4	6	6	1	R09F10.1	304	R09F10.1	R09F10.1	R09F10.1	0.00986842105263158	0	0.0131578947368421	0.00986842105263158	0.0131578947368421	0	0	0	0.00657894736842105	0	0.0131578947368421	0.0197368421052632	0.0197368421052632	0.00328947368421053	2.35714285714286	1.27272727272727	0	1.6969696969697	1.27272727272727	1.6969696969697	0	0	0	0.848484848484849	0	1.6969696969697	2.54545454545455	2.54545454545455	0.424242424242424	FALSE
1041.fa	1	0	1	3	4	0	0	0	1	0	1	2	0	3	R09F10.5	125	R09F10.5	R09F10.5	R09F10.5	0.008	0	0.008	0.024	0.032	0	0	0	0.008	0	0.008	0.016	0	0.024	1.14285714285714	0.875	0	0.875	2.625	3.5	0	0	0	0.875	0	0.875	1.75	0	2.625	FALSE
1042.fa	1	1	0	0	5	0	0	0	12	1	1	1	0	5	K02G10.4	108	K02G10.4	K02G10.4	flp-11	0.00925925925925926	0.00925925925925926	0	0	0.0462962962962963	0	0	0	0.111111111111111	0.00925925925925926	0.00925925925925926	0.00925925925925926	0	0.0462962962962963	1.92857142857143	0.518518518518518	0.518518518518518	0	0	2.59259259259259	0	0	0	6.22222222222222	0.518518518518518	0.518518518518518	0.518518518518518	0	2.59259259259259	FALSE
1043.fa	2	0	0	0	3	0	0	0	0	0	0	0	0	2	C24H10.5	111	C24H10.5	C24H10.5	cal-5	0.018018018018018	0	0	0	0.027027027027027	0	0	0	0	0	0	0	0	0.018018018018018	0.5	4	0	0	0	6	0	0	0	0	0	0	0	0	4	FALSE
1044.fa	0	0	2	0	6	0	0	0	0	0	0	1	1	1	B0024.9	121	B0024.9	B0024.9	trx-2	0	0	0.0165289256198347	0	0.0495867768595041	0	0	0	0	0	0	0.00826446280991736	0.00826446280991736	0.00826446280991736	0.785714285714286	0	0	2.54545454545455	0	7.63636363636364	0	0	0	0	0	0	1.27272727272727	1.27272727272727	1.27272727272727	FALSE
1045.fa	1	2	0	7	9	2	1	0	13	3	3	5	2	12	F46G10.2	508	F46G10.2	F46G10.2	F46G10.2	0.00196850393700787	0.00393700787401575	0	0.0137795275590551	0.0177165354330709	0.00393700787401575	0.00196850393700787	0	0.0255905511811024	0.00590551181102362	0.00590551181102362	0.00984251968503937	0.00393700787401575	0.0236220472440945	4.28571428571429	0.233333333333333	0.466666666666667	0	1.63333333333333	2.1	0.466666666666667	0.233333333333333	0	3.03333333333333	0.7	0.7	1.16666666666667	0.466666666666667	2.8	FALSE
1046.fa	1	0	0	4	11	0	0	2	0	0	2	1	3	6	ZK525.2	203	ZK525.2	ZK525.2	aqp-11	0.00492610837438424	0	0	0.0197044334975369	0.0541871921182266	0	0	0.00985221674876847	0	0	0.00985221674876847	0.00492610837438424	0.0147783251231527	0.0295566502463054	2.14285714285714	0.466666666666667	0	0	1.86666666666667	5.13333333333333	0	0	0.933333333333333	0	0	0.933333333333333	0.466666666666667	1.4	2.8	FALSE
1047.fa	0	1	1	2	16	0	3	1	1	1	0	1	0	6	R05G6.9	329	R05G6.9	R05G6.9	R05G6.9	0	0.00303951367781155	0.00303951367781155	0.0060790273556231	0.0486322188449848	0	0.00911854103343465	0.00303951367781155	0.00303951367781155	0.00303951367781155	0	0.00303951367781155	0	0.0182370820668693	2.35714285714286	0	0.424242424242424	0.424242424242424	0.848484848484849	6.78787878787879	0	1.27272727272727	0.424242424242424	0.424242424242424	0.424242424242424	0	0.424242424242424	0	2.54545454545455	FALSE
1048.fa	0	1	0	5	17	0	0	2	1	1	1	1	1	8	K04F10.4	571	K04F10.4	K04F10.4	bli-4	0	0.00175131348511384	0	0.00875656742556918	0.0297723292469352	0	0	0.00350262697022767	0.00175131348511384	0.00175131348511384	0.00175131348511384	0.00175131348511384	0.00175131348511384	0.0140105078809107	2.71428571428571	0	0.368421052631579	0	1.84210526315789	6.26315789473684	0	0	0.736842105263158	0.368421052631579	0.368421052631579	0.368421052631579	0.368421052631579	0.368421052631579	2.94736842105263	FALSE
1049.fa	0	0	0	0	1	0	0	0	0	0	0	34	0	0	T23B12.5	68	T23B12.5	T23B12.5	T23B12.5	0	0	0	0	0.0147058823529412	0	0	0	0	0	0	0.5	0	0	2.5	0	0	0	0	0.4	0	0	0	0	0	0	13.6	0	0	FALSE
105.fa	1	0	0	2	10	0	1	0	0	0	0	2	0	14	W02F12.2	254	W02F12.2	W02F12.2	W02F12.2	0.00393700787401575	0	0	0.0078740157480315	0.0393700787401575	0	0.00393700787401575	0	0	0	0	0.0078740157480315	0	0.0551181102362205	2.14285714285714	0.466666666666667	0	0	0.933333333333333	4.66666666666667	0	0.466666666666667	0	0	0	0	0.933333333333333	0	6.53333333333333	FALSE
