Orthogroup	briggsae	elegans	inopinata	nigoni	remanei
OG0019823	CBG19084				
OG0019824	CBG19320				
OG0019825	CBG19333				
OG0019826	CBG19399				
OG0019827	CBG19402				
OG0019828	CBG19472				
OG0019829	CBG19476				
OG0019830	CBG20080				
OG0019831	CBG20114				
OG0019832	CBG20450				
OG0019833	CBG20466				
OG0019834	CBG20502				
OG0019835	CBG20511				
OG0019836	CBG20529				
OG0019837	CBG20610				
OG0019838	CBG20850				
OG0019839	CBG20892				
OG0019840	CBG20907				
OG0019841	CBG20931				
OG0019842	CBG21033				
OG0019843	CBG21055				
OG0019844	CBG21142				
OG0019845	CBG21156				
OG0019846	CBG21293				
OG0019847	CBG21374				
OG0019848	CBG21384				
OG0019849	CBG21425				
OG0019850	CBG21454				
OG0019851	CBG21491				
OG0019852	CBG21751				
OG0019853	CBG21788				
OG0019854	CBG21989				
OG0019855	CBG22065				
OG0019856	CBG22095				
OG0019857	CBG22122				
OG0019858	CBG22241				
OG0019859	CBG22345				
OG0019860	CBG22558				
OG0019861	CBG22653				
OG0019862	CBG23182				
OG0019863	CBG23439				
OG0019864	CBG23547				
OG0019865	CBG23589				
OG0019866	CBG23654				
OG0019867	CBG23671				
OG0019868	CBG23707				
OG0019869	CBG23967				
OG0019870	CBG23990				
OG0019871	CBG24057a				
OG0019872	CBG24081				
OG0019873	CBG24096				
OG0019874	CBG24102				
OG0019875	CBG24159				
OG0019876	CBG24329				
OG0019877	CBG24330a				
OG0019878	CBG24342				
OG0019879	CBG24420				
OG0019880	CBG24422				
OG0019881	CBG24435				
OG0019882	CBG24452				
OG0019883	CBG24462				
OG0019884	CBG24505				
OG0019885	CBG24541				
OG0019886	CBG24551				
OG0019887	CBG24586				
OG0019888	CBG24626				
OG0019889	CBG24693				
OG0019890	CBG24807				
OG0019891	CBG24821				
OG0019892	CBG24871				
OG0019893	CBG24889				
OG0019894	CBG24939				
OG0019895	CBG24955				
OG0019896	CBG24982				
OG0019897	CBG24985				
OG0019898	CBG25015				
OG0019899	CBG25033				
OG0019900	CBG25089				
OG0019901	CBG25097				
OG0019902	CBG25105				
OG0019903	CBG25143				
OG0019904	CBG25160				
OG0019905	CBG25164				
OG0019906	CBG25165				
OG0019907	CBG25181				
OG0019908	CBG25183				
OG0019909	CBG25202				
OG0019910	CBG25231				
OG0019911	CBG25270				
OG0019912	CBG25280				
OG0019913	CBG25285				
OG0019914	CBG25291				
OG0019915	CBG25313				
OG0019916	CBG25318				
OG0019917	CBG25333				
OG0019918	CBG25336				
OG0019919	CBG25347				
OG0019920	CBG25410				
OG0019921	CBG25413				
OG0019922	CBG25422				
OG0019923	CBG25423				
OG0019924	CBG25426				
OG0019925	CBG25436				
OG0019926	CBG25473				
OG0019927	CBG25501				
OG0019928	CBG25530				
OG0019929	CBG25551				
OG0019930	CBG25558				
OG0019931	CBG25587a				
OG0019932	CBG25596				
OG0019933	CBG25619				
OG0019934	CBG25673				
OG0019935	CBG25709				
OG0019936	CBG25725				
OG0019937	CBG25730				
OG0019938	CBG25735				
OG0019939	CBG25747				
OG0019940	CBG25783				
OG0019941	CBG25785				
OG0019942	CBG25802				
OG0019943	CBG25830b				
OG0019944	CBG25834				
OG0019945	CBG25844				
OG0019946	CBG25846				
OG0019947	CBG25860				
OG0019948	CBG25865				
OG0019949	CBG25869				
OG0019950	CBG25878				
OG0019951	CBG25893				
OG0019952	CBG25932				
OG0019953	CBG25950				
OG0019954	CBG25952				
OG0019955	CBG25962				
OG0019956	CBG25976				
OG0019957	CBG25983				
OG0019958	CBG25993				
OG0019959	CBG26035				
OG0019960	CBG26074				
OG0019961	CBG26120				
OG0019962	CBG26135				
OG0019963	CBG26151				
OG0019964	CBG26161				
OG0019965	CBG26190				
OG0019966	CBG26215				
OG0019967	CBG26216				
OG0019968	CBG26233				
OG0019969	CBG26253				
OG0019970	CBG26281				
OG0019971	CBG26290				
OG0019972	CBG26370b				
OG0019973	CBG26378				
OG0019974	CBG26398				
OG0019975	CBG26425				
OG0019976	CBG26480				
OG0019977	CBG26486				
OG0019978	CBG26524				
OG0019979	CBG26532				
OG0019980	CBG26566				
OG0019981	CBG26578				
OG0019982	CBG26631				
OG0019983	CBG26633				
OG0019984	CBG26643				
OG0019985	CBG26645				
OG0019986	CBG26652				
OG0019987	CBG26671				
OG0019988	CBG26672				
OG0019989	CBG26675				
OG0019990	CBG26681				
OG0019991	CBG26684				
OG0019992	CBG26716				
OG0019993	CBG26771				
OG0019994	CBG26804				
OG0019995	CBG26808				
OG0019996	CBG26811				
OG0019997	CBG26812				
OG0019998	CBG26815				
OG0019999	CBG26828a				
OG0020000	CBG26842				
OG0020001	CBG26845				
OG0020002	CBG26846				
OG0020003	CBG26901				
OG0020004	CBG26941				
OG0020005	CBG26962				
OG0020006	CBG26987				
OG0020007	CBG26988b				
OG0020008	CBG26989				
OG0020009	CBG26990				
OG0020010	CBG27003				
OG0020011	CBG27022				
OG0020012	CBG27031				
OG0020013	CBG27066				
OG0020014	CBG27199				
OG0020015	CBG27203				
OG0020016	CBG27226				
OG0020017	CBG27230				
OG0020018	CBG27250				
OG0020019	CBG27274				
OG0020020	CBG27284				
OG0020021	CBG27302				
OG0020022	CBG27303				
OG0020023	CBG27305				
OG0020024	CBG27347				
OG0020025	CBG27357				
OG0020026	CBG27396				
OG0020027	CBG27407				
OG0020028	CBG27415				
OG0020029	CBG27417				
OG0020030	CBG27421				
OG0020031	CBG27446				
OG0020032	CBG27449				
OG0020033	CBG27453				
OG0020034	CBG27576				
OG0020035	CBG27582				
OG0020036	CBG27588				
OG0020037	CBG27604				
OG0020038	CBG27610				
OG0020039	CBG27641				
OG0020040	CBG27657				
OG0020041	CBG27674				
OG0020042	CBG27677				
OG0020043	CBG27703				
OG0020044	CBG27756				
OG0020045	CBG27779				
OG0020046	CBG27780				
OG0020047	CBG27791				
OG0020048	CBG27806				
OG0020049	CBG27824				
OG0020050	CBG27838				
OG0020051	CBG27912				
OG0020052	CBG27924				
OG0020053	CBG27953				
OG0020054	CBG28005				
OG0020055	CBG28038				
OG0020056	CBG28041				
OG0020057	CBG28053				
OG0020058	CBG28059				
OG0020059	CBG28061				
OG0020060	CBG28062				
OG0020061	CBG28076				
OG0020062	CBG28084				
OG0020063	CBG28091				
OG0020064	CBG28103				
OG0020065	CBG28105				
OG0020066	CBG28120				
OG0020067	CBG28121				
OG0020068	CBG28127				
OG0020069	CBG28128				
OG0020070	CBG28134				
OG0020071	CBG29114				
OG0020072	CBG29116				
OG0020073	CBG29758				
OG0020074	CBG29759				
OG0020075	CBG29915				
OG0020076	CBG29936				
OG0020077	CBG29939				
OG0020078	CBG29940				
OG0020079	CBG29956				
OG0020080	CBG29957				
OG0020081	CBG29965				
OG0020082	CBG29978				
OG0020083	CBG29983				
OG0020084	CBG30100				
OG0020085	CBG30122				
OG0020086	CBG30152				
OG0020087	CBG30169				
OG0020088	CBG30259				
OG0020089	CBG30267				
OG0020090	CBG30275				
OG0020091	CBG30282				
OG0020092	CBG30295				
OG0020093	CBG30410				
OG0020094	CBG30418				
OG0020095	CBG30430				
OG0020096	CBG30441				
OG0020097	CBG30460				
OG0020098	CBG30471				
OG0020099	CBG30479				
OG0020100	CBG30590				
OG0020101	CBG30592				
OG0020102	CBG30608				
OG0020103	CBG30610				
OG0020104	CBG30611				
OG0020105	CBG30614				
OG0020106	CBG30655				
OG0020107	CBG30672				
OG0020108	CBG30675				
OG0020109	CBG30677				
OG0020110	CBG30680				
OG0020111	CBG30681				
OG0020112	CBG30801				
OG0020113	CBG30803				
OG0020114	CBG30816				
OG0020115	CBG30817				
OG0020116	CBG30827				
OG0020117	CBG29772				
OG0020118	CBG29778				
OG0020119	CBG29790				
OG0020120	CBG29795				
OG0020121	CBG29798				
OG0020122	CBG29799				
OG0020123	CBG29800				
OG0020124	CBG29803				
OG0020125	CBG29804				
OG0020126	CBG29806				
OG0020127	CBG29811				
OG0020128	CBG29812				
OG0020129	CBG29814				
OG0020130	CBG29822				
OG0020131	CBG29824				
OG0020132	CBG29832				
OG0020133	CBG29838				
OG0020134	CBG29846				
OG0020135	CBG29848				
OG0020136	CBG29849				
OG0020137	CBG29851				
OG0020138	CBG29854				
OG0020139	CBG29855				
OG0020140	CBG29856				
OG0020141	CBG29858				
OG0020142	CBG29861				
OG0020143	CBG29868				
OG0020144	CBG29869				
OG0020145	CBG29870				
OG0020146	CBG29876				
OG0020147	CBG29877				
OG0020148	CBG29882				
OG0020149	CBG29886				
OG0020150	CBG29900				
OG0020151	CBG29904				
OG0020152	CBG29907				
OG0020153	CBG29908				
OG0020154	CBG29994				
OG0020155	CBG29996				
OG0020156	CBG29997				
OG0020157	CBG29998				
OG0020158	CBG30004				
OG0020159	CBG30005				
OG0020160	CBG30007				
OG0020161	CBG30009				
OG0020162	CBG30011				
OG0020163	CBG30015				
OG0020164	CBG30017				
OG0020165	CBG30026				
OG0020166	CBG30027				
OG0020167	CBG30029				
OG0020168	CBG30030				
OG0020169	CBG30035				
OG0020170	CBG30044				
OG0020171	CBG30047				
OG0020172	CBG30057				
OG0020173	CBG30058				
OG0020174	CBG30059				
OG0020175	CBG30060				
OG0020176	CBG30061				
OG0020177	CBG30063				
OG0020178	CBG30065				
OG0020179	CBG30067				
OG0020180	CBG30069				
OG0020181	CBG30073				
OG0020182	CBG30074				
OG0020183	CBG30075				
OG0020184	CBG30079				
OG0020185	CBG30080				
OG0020186	CBG30081				
OG0020187	CBG30085				
OG0020188	CBG30087				
OG0020189	CBG30088				
OG0020190	CBG30089				
OG0020191	CBG30175				
OG0020192	CBG30179				
OG0020193	CBG30180				
OG0020194	CBG30182				
OG0020195	CBG30185				
OG0020196	CBG30188				
OG0020197	CBG30189				
OG0020198	CBG30190				
OG0020199	CBG30192				
OG0020200	CBG30193				
OG0020201	CBG30194				
OG0020202	CBG30195				
OG0020203	CBG30199				
OG0020204	CBG30201				
OG0020205	CBG30209				
OG0020206	CBG30212				
OG0020207	CBG30213				
OG0020208	CBG30216				
OG0020209	CBG30217				
OG0020210	CBG30222				
OG0020211	CBG30223				
OG0020212	CBG30229				
OG0020213	CBG30230				
OG0020214	CBG30232				
OG0020215	CBG30243				
OG0020216	CBG30244				
OG0020217	CBG30247				
OG0020218	CBG30248				
OG0020219	CBG30252				
OG0020220	CBG30253				
OG0020221	CBG30325				
OG0020222	CBG30327				
OG0020223	CBG30329				
OG0020224	CBG30332				
OG0020225	CBG30334				
OG0020226	CBG30335				
OG0020227	CBG30336				
OG0020228	CBG30340				
OG0020229	CBG30341				
OG0020230	CBG30345				
OG0020231	CBG30346				
OG0020232	CBG30350				
OG0020233	CBG30351				
OG0020234	CBG30353				
OG0020235	CBG30363				
OG0020236	CBG30373				
OG0020237	CBG30374				
OG0020238	CBG30380				
OG0020239	CBG30382				
OG0020240	CBG30383a				
OG0020241	CBG30384				
OG0020242	CBG30387				
OG0020243	CBG30389				
OG0020244	CBG30390				
OG0020245	CBG30397				
OG0020246	CBG30398				
OG0020247	CBG30485				
OG0020248	CBG30494				
OG0020249	CBG30497				
OG0020250	CBG30503				
OG0020251	CBG30508				
OG0020252	CBG30515				
OG0020253	CBG30528				
OG0020254	CBG30534				
OG0020255	CBG30539				
OG0020256	CBG30540				
OG0020257	CBG30541				
OG0020258	CBG30547				
OG0020259	CBG30548				
OG0020260	CBG30554				
OG0020261	CBG30555				
OG0020262	CBG30557				
OG0020263	CBG30558				
OG0020264	CBG30560				
OG0020265	CBG30561				
OG0020266	CBG30564				
OG0020267	CBG30568				
OG0020268	CBG30692				
OG0020269	CBG30699				
OG0020270	CBG30700				
OG0020271	CBG30701				
OG0020272	CBG30702				
OG0020273	CBG30703				
OG0020274	CBG30705				
OG0020275	CBG30708				
OG0020276	CBG30709				
OG0020277	CBG30712				
OG0020278	CBG30714				
OG0020279	CBG30716				
OG0020280	CBG30720				
OG0020281	CBG30721				
OG0020282	CBG30724				
OG0020283	CBG30725				
OG0020284	CBG30728				
OG0020285	CBG30729				
OG0020286	CBG30732				
OG0020287	CBG30735				
OG0020288	CBG30736				
OG0020289	CBG30742				
OG0020290	CBG30746				
OG0020291	CBG30747				
OG0020292	CBG30750				
OG0020293	CBG30753				
OG0020294	CBG30754				
OG0020295	CBG30757				
OG0020296	CBG30759				
OG0020297	CBG30769				
OG0020298	CBG30771				
OG0020299	CBG30777				
OG0020300	CBG30778				
OG0020301	CBG30779				
OG0020302	CBG30780				
OG0020303	CBG30781				
OG0020304	CBG30849				
OG0020305	CBG30864				
OG0020306	CBG30897				
OG0020307	CBG30914				
OG0020308	CBG30923				
OG0020309	CBG30938				
OG0020310	CBG30945				
OG0020311	CBG30989				
OG0020312	CBG30999				
OG0020313	CBG31050				
OG0020314	CBG31054				
OG0020315	CBG31072				
OG0020316	CBG31082				
OG0020317	CBG31100				
OG0020318	CBG31108				
OG0020319	CBG31110				
OG0020320	CBG31114				
OG0020321	CBG31120				
OG0020322	CBG31125				
OG0020323	CBG31139				
OG0020324	CBG31198				
OG0020325	CBG31218				
OG0020326	CBG31251				
OG0020327	CBG31258				
OG0020328	CBG31282				
OG0020329	CBG31303				
OG0020330	CBG31340				
OG0020331	CBG31373				
OG0020332	CBG31382				
OG0020333	CBG31393				
OG0020334	CBG31435				
OG0020335	CBG31488				
OG0020336	CBG31497				
OG0020337		F54B8.5			
OG0020338		R09F10.9			
OG0020339		C50F7.2			
OG0020340		R09B5.3a			
OG0020341		R09B5.8			
OG0020342		R09B5.10			
OG0020343		ZK863.2			
OG0020344		T05E7.2			
OG0020345		C37H5.4			
OG0020346		W09G12.1			
OG0020347		W03H1.2			
OG0020348		W02A2.2			
OG0020349		Y18D10A.25			
OG0020350		F56H9.4b			
OG0020351		T01B10.1			
OG0020352		K08F4.6			
OG0020353		F37B1.6			
OG0020354		F37B1.7			
OG0020355		T28A11.11			
OG0020356		F37F2.3			
OG0020357		C01B10.5b			
OG0020358		T05E8.2			
OG0020359		D1086.4a			
OG0020360		F45F2.2			
OG0020361		W09H1.2			
OG0020362		Y17G7A.1			
OG0020363		ZK84.3			
OG0020364		Y39A3A.5			
OG0020365		F52B11.6			
OG0020366		F08G2.6			
OG0020367		T22G5.6			
OG0020368		ZK354.10			
OG0020369		F09C12.7			
OG0020370		F44G3.9			
OG0020371		F35B12.7			
OG0020372		Y43F8C.2			
OG0020373		B0213.2			
OG0020374		B0213.3			
OG0020375		B0213.4			
OG0020376		B0213.6			
OG0020377		T19C4.7			
OG0020378		T05G5.11			
OG0020379		W03D2.1c			
OG0020380		W04G5.2a			
OG0020381		Y18H1A.7a			
OG0020382		C09H10.1			
OG0020383		Y41D4B.5			
OG0020384		F47H4.10			
OG0020385		K04A8.8			
OG0020386		C24B9.11			
OG0020387		T27A1.1			
OG0020388		R11G11.5			
OG0020389		C29F3.6			
OG0020390		T19H12.7			
OG0020391		ZK337.4			
OG0020392		T26C11.1a			
OG0020393		F56D2.4			
OG0020394		ZK430.3			
OG0020395		B0250.7b			
OG0020396		B0250.8			
OG0020397		B0284.3			
OG0020398		B0379.6			
OG0020399		C01A2.1a			
OG0020400		C01A2.6			
OG0020401		C01G6.2			
OG0020402		C01G10.4			
OG0020403		C01G10.5			
OG0020404		C01G10.6			
OG0020405		C01G10.15			
OG0020406		C01G12.11			
OG0020407		C02F4.5			
OG0020408		C03C10.5			
OG0020409		C04B4.5			
OG0020410		C04B4.6a			
OG0020411		C05C9.3			
OG0020412		C06A1.6			
OG0020413		C06C3.7			
OG0020414		C08E8.1			
OG0020415		C09G9.8a			
OG0020416		C14A6.3			
OG0020417		C17H1.2			
OG0020418		C18D4.4b			
OG0020419		C25A1.15			
OG0020420		C25D7.9			
OG0020421		C25G4.7b			
OG0020422		C27C12.1			
OG0020423		C31G12.3			
OG0020424		C33D3.4			
OG0020425		C33D3.5			
OG0020426		C33D9.6a			
OG0020427		C33G3.6			
OG0020428		C34C12.2			
OG0020429		C36A4.10			
OG0020430		C39B10.3			
OG0020431		C39B10.4			
OG0020432		C40C9.3			
OG0020433		C44H9.7b			
OG0020434		C53C7.3			
OG0020435		C54G10.1			
OG0020436		C55A1.6			
OG0020437		C55A1.11			
OG0020438		E02H4.5			
OG0020439		F02C12.3			
OG0020440		F02D10.2			
OG0020441		F02D10.3			
OG0020442		F07H5.6			
OG0020443		F07H5.13			
OG0020444		F08G2.5			
OG0020445		F08G12.3			
OG0020446		F08H9.2			
OG0020447		F08H9.3			
OG0020448		F09C6.3			
OG0020449		F11A6.2			
OG0020450		F11D11.4			
OG0020451		F14D7.2			
OG0020452		F14D7.3			
OG0020453		F14D7.9			
OG0020454		F14F8.8			
OG0020455		F14H3.6			
OG0020456		F15D3.5			
OG0020457		F15D4.6			
OG0020458		F17B5.5			
OG0020459		F20C5.5			
OG0020460		F20C5.6			
OG0020461		F21H7.3			
OG0020462		F22B3.5a			
OG0020463		F23D12.6			
OG0020464		F23H12.8			
OG0020465		F23H12.9b			
OG0020466		F26A3.5			
OG0020467		F30A10.12			
OG0020468		F33C8.2			
OG0020469		F33E2.7			
OG0020470		F34D10.8			
OG0020471		F35E8.2			
OG0020472		F36A2.10			
OG0020473		F36D1.5			
OG0020474		F38C2.8			
OG0020475		F40G12.11			
OG0020476		F41E7.4			
OG0020477		F41E7.5			
OG0020478		F42E8.1			
OG0020479		F44A6.4			
OG0020480		F46A8.7			
OG0020481		F49C5.5			
OG0020482		F52H3.4			
OG0020483		F53A2.2			
OG0020484		F53B6.9			
OG0020485		F53F1.6b			
OG0020486		F53H2.2			
OG0020487		F54F7.3			
OG0020488		F55C9.3			
OG0020489		F55C9.5			
OG0020490		F55G7.3			
OG0020491		F56H6.3			
OG0020492		F57A8.8			
OG0020493		F58D5.8			
OG0020494		H03G16.5			
OG0020495		H12D21.5			
OG0020496		H12D21.6			
OG0020497		H19J13.2			
OG0020498		H38K22.4			
OG0020499		K01A6.4			
OG0020500		K01D12.8			
OG0020501		K01D12.10			
OG0020502		K02E11.4a			
OG0020503		K03A11.1			
OG0020504		K03H1.9			
OG0020505		K04C1.4			
OG0020506		K04G11.1			
OG0020507		K05C4.10			
OG0020508		K06A4.6			
OG0020509		K06G5.3a			
OG0020510		K07F5.5			
OG0020511		K08D8.2			
OG0020512		M01G12.6			
OG0020513		M04C9.1a			
OG0020514		M04D8.4			
OG0020515		M117.3			
OG0020516		M163.5			
OG0020517		R03E1.4a			
OG0020518		R04B5.11			
OG0020519		R04D3.4			
OG0020520		R07B1.7			
OG0020521		R07B7.2c			
OG0020522		R07E5.5			
OG0020523		R07H5.10b			
OG0020524		R11A5.6			
OG0020525		T01G5.6			
OG0020526		T02D1.7			
OG0020527		T02G6.3			
OG0020528		T02G6.4			
OG0020529		T04A8.13			
OG0020530		T06E8.2			
OG0020531		T06G6.3a			
OG0020532		T06G6.4			
OG0020533		T08D2.1			
OG0020534		T08D2.6			
OG0020535		T08G3.13			
OG0020536		T09F5.2			
OG0020537		T10B10.9			
OG0020538		T11B7.1			
OG0020539		T11B7.2a			
OG0020540		T16H12.1a			
OG0020541		T21B4.3			
OG0020542		T22H2.4			
OG0020543		T24C2.3			
OG0020544		T26E4.2			
OG0020545		T26G10.3			
OG0020546		T26H5.4a			
OG0020547		T26H8.4			
OG0020548		T27E9.6			
OG0020549		T28C6.1f			
OG0020550		VW02B12L.2			
OG0020551		W01B6.4			
OG0020552		W02D9.5			
OG0020553		W02D9.6			
OG0020554		W02D9.7			
OG0020555		W02D9.8			
OG0020556		W02D9.9			
OG0020557		W04A8.2			
OG0020558		W04E12.3			
OG0020559		W06D11.3			
OG0020560		W06D12.6			
OG0020561		W06G6.10			
OG0020562		W09H1.3			
OG0020563		W09H1.4			
OG0020564		Y1A5A.2			
OG0020565		Y7A5A.5			
OG0020566		Y7A5A.7			
OG0020567		Y7A5A.8			
OG0020568		Y7A5A.9			
OG0020569		Y11D7A.7			
OG0020570		Y17D7B.4			
OG0020571		Y17D7C.1a			
OG0020572		Y17G7B.22			
OG0020573		Y18D10A.4			
OG0020574		Y19D2B.1			
OG0020575		Y32B12B.4a			
OG0020576		Y37A1B.4			
OG0020577		Y37D8A.8			
OG0020578		Y38E10A.9			
OG0020579		Y38E10A.14			
OG0020580		Y38H6C.3			
OG0020581		Y38H6C.4			
OG0020582		Y38H6C.18			
OG0020583		Y39A1A.10			
OG0020584		Y40H7A.11			
OG0020585		Y41C4A.17			
OG0020586		Y43C5A.1			
OG0020587		Y43C5B.2			
OG0020588		Y43D4A.1			
OG0020589		Y43F8B.5			
OG0020590		Y43F8C.17			
OG0020591		Y43F8C.20			
OG0020592		Y45F3A.5			
OG0020593		Y46G5A.15			
OG0020594		Y46G5A.20			
OG0020595		Y46G5A.23			
OG0020596		Y49E10.27			
OG0020597		Y50E8A.2			
OG0020598		Y51A2B.8			
OG0020599		Y51B9A.7			
OG0020600		Y51B9A.8			
OG0020601		Y53C12A.6a			
OG0020602		Y53F4B.5			
OG0020603		Y53F4B.17			
OG0020604		Y57A10C.9			
OG0020605		Y59A8B.12			
OG0020606		Y59A8B.24			
OG0020607		Y62E10A.3			
OG0020608		Y62H9A.11			
OG0020609		Y62H9A.13			
OG0020610		Y73F8A.13			
OG0020611		Y73F8A.32a			
OG0020612		Y102A5C.2			
OG0020613		Y105E8A.28			
OG0020614		Y106G6D.1			
OG0020615		Y113G7A.12			
OG0020616		ZC15.6			
OG0020617		ZK285.2			
OG0020618		ZK384.1			
OG0020619		ZK384.2			
OG0020620		ZK643.7			
OG0020621		ZK938.7			
OG0020622		ZK1010.5			
OG0020623		ZK1251.7			
OG0020624		Y39G8C.3b			
OG0020625		K08E5.1b			
OG0020626		B0034.2			
OG0020627		B0205.5			
OG0020628		B0302.2			
OG0020629		B0302.4			
OG0020630		B0336.12			
OG0020631		B0410.1			
OG0020632		B0416.4			
OG0020633		B0432.12			
OG0020634		B0507.5a			
OG0020635		B0524.5			
OG0020636		B0547.2			
OG0020637		C01B10.7a			
OG0020638		C02B8.6			
OG0020639		C02E7.8			
OG0020640		C02E7.10			
OG0020641		C03B1.3			
OG0020642		C03B1.10			
OG0020643		C03H5.4a			
OG0020644		C04G6.6			
OG0020645		C04G6.11			
OG0020646		C05E4.12			
OG0020647		C06E4.1			
OG0020648		C14E2.1			
OG0020649		C14E2.3			
OG0020650		C14E2.5			
OG0020651		C14E2.6			
OG0020652		C15B12.3			
OG0020653		C16C8.7			
OG0020654		C17C3.9			
OG0020655		C17F4.1			
OG0020656		C17F4.5			
OG0020657		C18A3.9			
OG0020658		C23F12.3			
OG0020659		C24D10.7			
OG0020660		C24H10.4			
OG0020661		C24H12.6			
OG0020662		C25A8.1			
