Sp34_10006800.t1	IPR002172	Low-density lipoprotein (LDL) receptor class A repeat
Sp34_10006800.t1	IPR035914	Spermadhesin, CUB domain superfamily
Sp34_10006900.t1	IPR001781	Zinc finger, LIM-type
Sp34_10007020.t1	IPR028784	Bardet-Biedl syndrome 1 protein
Sp34_10007020.t1	IPR032728	Bardet-Biedl syndrome 1, N-terminal
Sp34_10007020.t1	IPR036322	WD40-repeat-containing domain superfamily
Sp34_10007100.t1	IPR001753	Enoyl-CoA hydratase/isomerase
Sp34_10007100.t1	IPR014748	Enoyl-CoA hydratase, C-terminal
Sp34_10007100.t1	IPR018376	Enoyl-CoA hydratase/isomerase, conserved site
Sp34_10007100.t1	IPR029045	ClpP/crotonase-like domain superfamily
Sp34_10007200.t1	IPR002524	Cation efflux protein
Sp34_10007200.t1	IPR027469	Cation efflux transmembrane domain superfamily
Sp34_10007200.t1	IPR045316	Zinc transporter Msc2-like
Sp34_10007300.t1	IPR009011	Mannose-6-phosphate receptor binding domain superfamily
Sp34_10007300.t1	IPR012913	Protein OS9-like domain
Sp34_10007300.t1	IPR044865	MRH domain
Sp34_10007300.t1	IPR045149	Protein OS-9-like
Sp34_10007400.t1	IPR006993	SH3-binding, glutamic acid-rich protein
Sp34_10007400.t1	IPR036249	Thioredoxin-like superfamily
Sp34_10007500.t1	IPR001930	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase
Sp34_10007500.t1	IPR014782	Peptidase M1, membrane alanine aminopeptidase
Sp34_10007500.t1	IPR024571	ERAP1-like C-terminal domain
Sp34_10007500.t1	IPR027268	Peptidase M4/M1, CTD superfamily
Sp34_10007500.t1	IPR034016	Aminopeptidase N-type
Sp34_10007500.t1	IPR042097	Aminopeptidase N-like , N-terminal domain superfamliy
Sp34_10007500.t1	IPR045357	Aminopeptidase N-like , N-terminal domain
Sp34_10007610.t1	IPR000719	Protein kinase domain
Sp34_10007610.t1	IPR000980	SH2 domain
Sp34_10007610.t1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
Sp34_10007610.t1	IPR001452	SH3 domain
Sp34_10007610.t1	IPR008266	Tyrosine-protein kinase, active site
Sp34_10007610.t1	IPR011009	Protein kinase-like domain superfamily
Sp34_10007610.t1	IPR017441	Protein kinase, ATP binding site
Sp34_10007610.t1	IPR020635	Tyrosine-protein kinase, catalytic domain
Sp34_10007610.t1	IPR036028	SH3-like domain superfamily
Sp34_10007610.t1	IPR036860	SH2 domain superfamily
Sp34_10007800.t1	IPR000719	Protein kinase domain
Sp34_10007800.t1	IPR011009	Protein kinase-like domain superfamily
Sp34_10007800.t1	IPR047916	Tau-tubulin kinase homolog Asator-like, catalytic domain
Sp34_10007900.t1	IPR013087	Zinc finger C2H2-type
Sp34_10007900.t1	IPR036236	Zinc finger C2H2 superfamily
Sp34_10008000.t1	IPR002492	Transposase, Tc1-like
Sp34_10008000.t1	IPR036397	Ribonuclease H superfamily
Sp34_10008000.t1	IPR038717	Tc1-like transposase, DDE domain
Sp34_10008100.t1	IPR009057	Homeobox-like domain superfamily
Sp34_10008100.t1	IPR025898	Tc3 transposase, DNA binding domain
Sp34_10008100.t1	IPR036388	Winged helix-like DNA-binding domain superfamily
Sp34_10008100.t1	IPR036397	Ribonuclease H superfamily
Sp34_10008100.t1	IPR038717	Tc1-like transposase, DDE domain
Sp34_10008100.t1	IPR048703	Transposable element Tc3 transposase-like, DNA-binding HTH domain
Sp34_10008200.t1	IPR036397	Ribonuclease H superfamily
Sp34_10008300.t1	IPR001599	Alpha-2-macroglobulin
Sp34_10008300.t1	IPR002890	Macroglobulin domain
Sp34_10008300.t1	IPR008930	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid
Sp34_10008300.t1	IPR009048	Alpha-macroglobulin, receptor-binding
Sp34_10008300.t1	IPR011625	Alpha-2-macroglobulin, bait region domain
Sp34_10008300.t1	IPR011626	Alpha-macroglobulin-like, TED domain
Sp34_10008300.t1	IPR013783	Immunoglobulin-like fold
Sp34_10008300.t1	IPR019742	Alpha-2-macroglobulin, conserved site
Sp34_10008300.t1	IPR036595	Alpha-macroglobulin, receptor-binding domain superfamily
Sp34_10008300.t1	IPR041555	Macroglobulin domain MG3
Sp34_10008300.t1	IPR041813	Alpha-2-macroglobulin, TED domain
Sp34_10008300.t1	IPR047565	Alpha-macroglobulin-like, thiol-ester bond-forming region
Sp34_10008600.t1	IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain
Sp34_10008600.t1	IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain
Sp34_10008600.t1	IPR006172	DNA-directed DNA polymerase, family B
Sp34_10008600.t1	IPR012337	Ribonuclease H-like superfamily
Sp34_10008600.t1	IPR013697	DNA polymerase epsilon, catalytic subunit A, C-terminal
Sp34_10008600.t1	IPR023211	DNA polymerase, palm domain superfamily
Sp34_10008600.t1	IPR029703	DNA polymerase epsilon catalytic subunit
Sp34_10008600.t1	IPR036397	Ribonuclease H superfamily
Sp34_10008600.t1	IPR042087	DNA polymerase family B, thumb domain
Sp34_10008600.t1	IPR043502	DNA/RNA polymerase superfamily
Sp34_10008710.t1	IPR011990	Tetratricopeptide-like helical domain superfamily
Sp34_10008710.t1	IPR049039	Regulator of microtubule dynamics protein 1-3, alpha helical repeats
Sp34_10008720.t1	IPR002464	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site
Sp34_10008720.t1	IPR006554	Helicase-like, DEXD box c2 type
Sp34_10008720.t1	IPR006555	ATP-dependent helicase, C-terminal
Sp34_10008720.t1	IPR010614	RAD3-like helicase, DEAD
Sp34_10008720.t1	IPR014013	Helicase superfamily 1/2, ATP-binding domain, DinG/Rad3-type
Sp34_10008720.t1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Sp34_10008720.t1	IPR045028	Helicase superfamily 1/2, DinG/Rad3-like
Sp34_10008800.t1	IPR028091	FAM91, N-terminal domain
Sp34_10008800.t1	IPR028097	FAM91, C-terminal domain
Sp34_10008800.t1	IPR039199	FAM91
Sp34_10008900.t1	IPR011993	PH-like domain superfamily
Sp34_10008900.t1	IPR016159	Cullin repeat-like-containing domain superfamily
Sp34_10008900.t1	IPR032403	Exocyst component Exo84, C-terminal
Sp34_10008900.t1	IPR033961	Exocyst complex component Exo84
Sp34_10008900.t1	IPR042560	Exocyst component Exo84, C-terminal, subdomain 2
Sp34_10008900.t1	IPR042561	Exocyst component Exo84, C-terminal, subdomain 1
Sp34_10009000.t1	IPR004827	Basic-leucine zipper domain
Sp34_10009000.t1	IPR040223	PAR basic leucine zipper protein
Sp34_10009000.t1	IPR046347	Basic-leucine zipper domain superfamily
Sp34_10009100.t1	IPR000873	AMP-dependent synthetase/ligase domain
Sp34_10009100.t1	IPR020845	AMP-binding, conserved site
Sp34_10009100.t1	IPR025110	AMP-binding enzyme, C-terminal domain
Sp34_10009100.t1	IPR042099	ANL, N-terminal domain
Sp34_10009100.t1	IPR045851	AMP-binding enzyme, C-terminal domain superfamily
Sp34_10009200.t1	IPR003607	HD/PDEase domain
Sp34_10009310.t1	IPR000719	Protein kinase domain
Sp34_10009310.t1	IPR008271	Serine/threonine-protein kinase, active site
Sp34_10009310.t1	IPR011009	Protein kinase-like domain superfamily
Sp34_10009310.t1	IPR044109	cAMP-dependent protein kinase catalytic subunit
Sp34_10009610.t1	IPR000731	Sterol-sensing domain
Sp34_10009610.t1	IPR003392	Protein patched/dispatched
Sp34_10009700.t1	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain
Sp34_10009700.t1	IPR000387	Tyrosine-specific protein phosphatases domain
Sp34_10009700.t1	IPR003595	Protein-tyrosine phosphatase, catalytic
Sp34_10009700.t1	IPR029021	Protein-tyrosine phosphatase-like
Sp34_10010100.t1	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain
Sp34_10010100.t1	IPR000387	Tyrosine-specific protein phosphatases domain
Sp34_10010100.t1	IPR003595	Protein-tyrosine phosphatase, catalytic
Sp34_10010100.t1	IPR029021	Protein-tyrosine phosphatase-like
Sp34_10010200.t1	IPR002259	Equilibrative nucleoside transporter
Sp34_10010200.t1	IPR036259	MFS transporter superfamily
Sp34_10010311.t1	IPR000299	FERM domain
Sp34_10010311.t1	IPR000798	Ezrin/radixin/moesin-like
Sp34_10010311.t1	IPR011993	PH-like domain superfamily
Sp34_10010311.t1	IPR014352	FERM/acyl-CoA-binding protein superfamily
Sp34_10010311.t1	IPR014847	FERM adjacent
Sp34_10010311.t1	IPR018979	FERM, N-terminal
Sp34_10010311.t1	IPR018980	FERM, C-terminal PH-like domain
Sp34_10010311.t1	IPR019748	FERM central domain
Sp34_10010311.t1	IPR019749	Band 4.1 domain
Sp34_10010311.t1	IPR029071	Ubiquitin-like domain superfamily
Sp34_10010311.t1	IPR035963	FERM superfamily, second domain
Sp34_10010320.t1	IPR008379	Band 4.1, C-terminal
Sp34_10010400.t1	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain
Sp34_10010400.t1	IPR000387	Tyrosine-specific protein phosphatases domain
Sp34_10010400.t1	IPR003595	Protein-tyrosine phosphatase, catalytic
Sp34_10010400.t1	IPR016130	Protein-tyrosine phosphatase, active site
Sp34_10010400.t1	IPR029021	Protein-tyrosine phosphatase-like
Sp34_10010510.t1	IPR003112	Olfactomedin-like domain
Sp34_10010510.t1	IPR008160	Collagen triple helix repeat
Sp34_10010600.t1	IPR001609	Myosin head, motor domain
Sp34_10010600.t1	IPR002928	Myosin tail
Sp34_10010600.t1	IPR004009	Myosin, N-terminal, SH3-like
Sp34_10010600.t1	IPR008989	Myosin S1 fragment, N-terminal
Sp34_10010600.t1	IPR014751	DNA repair protein XRCC4-like, C-terminal
Sp34_10010600.t1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Sp34_10010600.t1	IPR036961	Kinesin motor domain superfamily
Sp34_10010700.t1	IPR000209	Peptidase S8/S53 domain
Sp34_10010700.t1	IPR002884	P domain
Sp34_10010700.t1	IPR008979	Galactose-binding-like domain superfamily
Sp34_10010700.t1	IPR015500	Peptidase S8, subtilisin-related
Sp34_10010700.t1	IPR022398	Peptidase S8, subtilisin, His-active site
Sp34_10010700.t1	IPR023827	Peptidase S8, subtilisin, Asp-active site
Sp34_10010700.t1	IPR034182	Kexin/furin catalytic domain
Sp34_10010700.t1	IPR036852	Peptidase S8/S53 domain superfamily
Sp34_10010800.t1	IPR026074	Microtubule associated protein 1
Sp34_10010900.t1	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain
Sp34_10010900.t1	IPR000387	Tyrosine-specific protein phosphatases domain
Sp34_10010900.t1	IPR003595	Protein-tyrosine phosphatase, catalytic
Sp34_10010900.t1	IPR029021	Protein-tyrosine phosphatase-like
Sp34_10011100.t1	IPR003689	Zinc/iron permease
Sp34_10011200.t1	IPR019441	FMP27/BLTP2/Hobbit, GFWDK motif-containing RBG unit
Sp34_10011200.t1	IPR019443	BLTP2/FMP27/Hobbit, C-terminal
Sp34_10011200.t1	IPR045167	Hobbit
Sp34_10011200.t1	IPR048872	BLTP2, sixth RBG module
Sp34_10011300.t1	IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
Sp34_10011300.t1	IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site
Sp34_10011300.t1	IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
Sp34_10011300.t1	IPR029000	Cyclophilin-like domain superfamily
Sp34_10011400.t1	IPR043519	Nucleotidyltransferase superfamily
Sp34_10011500.t1	IPR003603	U2A'/phosphoprotein 32 family A, C-terminal
Sp34_10011500.t1	IPR032675	Leucine-rich repeat domain superfamily
Sp34_10011500.t1	IPR045081	Acidic leucine-rich nuclear phosphoprotein 32
Sp34_10011700.t1	IPR002893	Zinc finger, MYND-type
Sp34_10011700.t1	IPR046341	SET domain superfamily
Sp34_10011800.t1	IPR021629	Mediator complex, subunit Med23
Sp34_10011900.t1	IPR001763	Rhodanese-like domain
Sp34_10011900.t1	IPR036873	Rhodanese-like domain superfamily
Sp34_10011900.t1	IPR045078	Sulfurtransferase TST/MPST-like
Sp34_10012010.t1	IPR000980	SH2 domain
Sp34_10012010.t1	IPR001496	SOCS box domain
Sp34_10012010.t1	IPR021629	Mediator complex, subunit Med23
Sp34_10012010.t1	IPR036860	SH2 domain superfamily
Sp34_10012100.t1	IPR005225	Small GTP-binding protein domain
Sp34_10012100.t1	IPR006073	GTP binding domain
Sp34_10012100.t1	IPR018948	GTP-binding protein TrmE, N-terminal
Sp34_10012100.t1	IPR025867	MnmE, helical domain
Sp34_10012100.t1	IPR027266	GTP-binding protein TrmE/Aminomethyltransferase GcvT, domain 1
Sp34_10012100.t1	IPR027368	tRNA modification GTPase MnmE domain 2
Sp34_10012100.t1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Sp34_10012100.t1	IPR031168	TrmE-type guanine nucleotide-binding domain
Sp34_10012200.t1	IPR017978	GPCR family 3, C-terminal
Sp34_10012200.t1	IPR043458	G-protein coupled receptor 158/179
Sp34_10012300.t1	IPR000892	Small ribosomal subunit protein eS26
Sp34_10012300.t1	IPR038551	Ribosomal protein eS26 superfamily
Sp34_10012300.t1	IPR047864	Ribosomal protein eS26, conserved site
Sp34_10012310.t1	IPR029248	Transmembrane protein 107
Sp34_10012400.t1	IPR001305	Heat shock protein DnaJ, cysteine-rich domain
Sp34_10012400.t1	IPR001623	DnaJ domain
Sp34_10012400.t1	IPR002939	Chaperone DnaJ, C-terminal
Sp34_10012400.t1	IPR008971	HSP40/DnaJ peptide-binding
Sp34_10012400.t1	IPR012724	Chaperone DnaJ
Sp34_10012400.t1	IPR018253	DnaJ domain, conserved site
Sp34_10012400.t1	IPR036410	Heat shock protein DnaJ, cysteine-rich domain superfamily
Sp34_10012400.t1	IPR036869	Chaperone J-domain superfamily
Sp34_10012400.t1	IPR044713	DnaJ homolog subfamily A member 1/2-like
Sp34_10012500.t1	IPR010987	Glutathione S-transferase, C-terminal-like
Sp34_10012500.t1	IPR017410	Mitochondrial outer membrane transport complex protein Metaxin 1/3
Sp34_10012500.t1	IPR019564	Mitochondrial outer membrane transport complex Sam37/metaxin, N-terminal domain
Sp34_10012500.t1	IPR033468	Metaxin, glutathione S-transferase domain
Sp34_10012500.t1	IPR036282	Glutathione S-transferase, C-terminal domain superfamily
Sp34_10012600.t1	IPR007257	DNA replication complex GINS protein Psf2
Sp34_10012600.t1	IPR021151	GINS subunit, domain A
Sp34_10012600.t1	IPR036224	GINS, helical bundle-like domain superfamily
Sp34_10012800.t1	IPR011989	Armadillo-like helical
Sp34_10012800.t1	IPR016024	Armadillo-type fold
Sp34_10012900.t1	IPR004203	Cytochrome c oxidase subunit IV family
Sp34_10012900.t1	IPR013288	Cytochrome c oxidase subunit IV
Sp34_10012900.t1	IPR036639	Cytochrome c oxidase subunit IV superfamily
Sp34_10013000.t1	IPR002013	SAC domain
Sp34_10013000.t1	IPR022158	Inositol phosphatase
Sp34_10013100.t1	IPR000054	Large ribosomal subunit protein eL31
Sp34_10013100.t1	IPR020052	Large ribosomal subunit protein eL31, conserved site
Sp34_10013100.t1	IPR023621	Large ribosomal subunit protein eL31 domain superfamily
Sp34_10013210.t1	IPR004296	DUF236 repeat
Sp34_10013300.t1	IPR000719	Protein kinase domain
Sp34_10013300.t1	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain
Sp34_10013300.t1	IPR008271	Serine/threonine-protein kinase, active site
Sp34_10013300.t1	IPR011009	Protein kinase-like domain superfamily
Sp34_10013300.t1	IPR011993	PH-like domain superfamily
Sp34_10013300.t1	IPR017441	Protein kinase, ATP binding site
Sp34_10013300.t1	IPR046349	C1-like domain superfamily
Sp34_10013400.t1	IPR016491	Septin
Sp34_10013400.t1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
